tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,27694,10996,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,26322,12035,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,25389,12889,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,24241,14020,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,23544,14966,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,22155,15930,50,0,300,0,0,0,0,0,0,0,0
7,49,1,0,0,0,0,0,0,49,20745,17567,50,0,300,0,0,0,0,0,0,0,0
8,49,1,0,0,0,0,0,0,49,19887,18811,50,0,300,0,0,0,0,0,0,0,0
9,48,2,0,0,0,0,0,0,48,17878,20282,50,0,300,0,0,0,0,0,0,0,0
10,48,2,0,0,0,2,0,0,48,17589,21834,50,0,300,0,0,0,0,0,0,0,0
11,46,4,0,0,2,4,0,0,46,16357,23780,50,0,300,0,0,0,0,0,0,0,0
12,46,4,0,0,2,8,0,0,46,14845,25061,50,0,300,0,0,0,0,0,0,0,0
13,44,6,0,0,4,8,0,0,44,13695,26771,50,0,300,0,0,0,0,0,0,0,0
14,44,6,0,0,4,12,0,0,44,12689,28210,50,0,300,0,0,0,0,0,0,0,0
15,44,6,0,0,4,12,0,0,44,11566,31231,50,0,300,0,0,0,0,0,0,0,0
16,44,6,0,0,4,12,0,0,44,10508,34153,50,0,300,0,0,0,0,0,0,0,0
17,43,7,0,0,6,14,0,0,43,9148,37025,50,0,300,0,0,0,0,0,0,0,0
18,43,7,0,0,6,14,0,0,43,8215,40173,50,0,300,0,0,0,0,0,0,0,0
19,41,9,0,0,8,14,0,0,41,7351,42909,50,0,300,0,0,0,0,0,0,0,0
20,41,9,0,0,10,14,0,0,41,6367,46891,50,0,300,0,0,0,0,0,0,0,0
21,41,9,0,0,10,14,0,0,41,5853,51633,50,0,300,0,0,0,0,0,0,0,0
22,41,9,0,0,14,16,0,0,41,5505,54884,50,0,300,0,0,0,0,0,0,0,0
23,40,10,0,0,18,20,0,0,40,5136,59701,50,0,300,0,0,0,0,0,0,0,0
24,40,10,0,0,20,22,0,0,40,4916,64350,50,0,300,0,0,0,0,0,0,0,0
25,39,11,0,0,20,22,0,0,39,4579,67828,50,0,300,0,0,0,0,0,0,0,0
26,39,11,0,0,20,28,0,0,39,4256,74316,50,0,300,0,0,0,0,0,0,0,0
27,37,13,0,0,22,28,0,0,37,4025,80681,50,0,300,0,0,0,0,0,0,0,0
28,37,13,0,0,24,30,0,0,37,3899,90385,50,0,300,0,0,0,0,0,0,0,0
29,37,13,0,0,30,30,0,0,37,3721,98032,50,0,300,0,0,0,0,0,0,0,0
30,37,13,0,0,32,32,0,0,37,3472,106780,50,0,300,0,0,0,0,0,0,0,0
31,36,14,0,0,36,32,0,0,36,3414,112434,50,0,300,0,0,0,0,0,0,0,0
32,36,14,0,0,38,34,0,0,36,3175,118110,50,0,300,0,0,0,0,0,0,0,0
33,35,15,0,0,40,36,0,0,35,2994,126084,50,0,300,0,0,0,0,0,0,0,0
34,35,15,0,0,40,40,0,0,35,2802,132818,50,0,300,0,0,0,0,0,0,0,0
35,35,15,0,0,40,40,0,0,35,2669,141754,50,0,300,0,0,0,0,0,0,0,0
36,35,15,0,0,42,44,0,0,35,2534,152767,50,0,300,0,0,0,0,0,0,0,0
37,35,15,0,0,52,44,0,0,35,2272,162115,50,0,300,0,0,0,0,0,0,0,0
38,35,15,0,0,54,46,0,0,35,2125,178430,50,0,300,0,0,0,0,0,0,0,0
39,33,17,0,0,56,46,0,0,33,1948,194145,50,0,300,0,0,0,0,0,0,0,0
40,33,17,0,0,58,48,0,0,33,1824,210267,50,0,300,0,0,0,0,0,0,0,0
41,33,17,0,0,60,50,0,0,33,1784,224133,50,0,300,0,0,0,0,0,0,0,0
42,33,17,0,0,60,50,0,0,33,1686,239843,50,0,300,0,0,0,0,0,0,0,0
43,31,19,0,0,64,52,0,0,31,1591,260111,50,0,300,0,0,0,0,0,0,0,0
44,31,19,0,0,66,54,0,0,31,1437,286615,50,0,300,0,0,0,0,0,0,0,0
45,29,21,0,0,68,58,0,0,29,1673,257522,50,0,300,0,0,0,0,0,0,0,0
46,29,21,0,0,68,58,0,0,29,2082,212495,50,0,300,0,0,0,0,0,0,0,0
47,28,22,0,0,70,60,0,0,28,2326,180462,50,0,300,0,0,0,0,0,0,0,0
48,28,22,0,0,74,60,0,0,28,2458,163650,50,0,300,0,0,0,0,0,0,0,0
49,26,24,0,0,74,68,0,0,26,2708,144620,50,0,300,0,0,0,0,0,0,0,0
50,26,24,0,0,78,72,0,0,26,3140,126662,50,0,300,0,0,0,0,0,0,0,0
51,24,26,0,0,82,72,0,0,24,3735,110091,50,0,300,0,0,0,0,0,0,0,0
52,24,26,0,0,84,76,0,0,24,4216,95119,50,0,300,0,0,0,0,0,0,0,0
53,24,26,0,0,90,82,0,0,24,4644,83889,50,0,300,0,0,0,0,0,0,0,0
54,24,26,0,0,96,84,0,0,24,5464,78470,50,0,300,0,0,0,0,0,0,0,0
55,22,28,0,0,100,90,0,0,22,6077,68068,50,0,300,0,0,0,0,0,0,0,0
56,22,28,0,0,108,94,0,0,22,6763,60078,50,0,300,0,0,0,0,0,0,0,0
57,22,28,0,0,110,100,0,0,22,7538,50563,50,0,300,0,0,0,0,0,0,0,0
58,22,28,0,0,110,104,0,0,22,8410,45151,50,0,300,0,0,0,0,0,0,0,0
59,21,29,0,0,112,110,0,0,21,9510,41492,50,0,300,0,0,0,0,0,0,0,0
60,21,29,0,0,114,112,0,0,21,10969,37159,50,0,300,0,0,0,0,0,0,0,0
61,19,31,0,0,114,116,0,0,19,13121,30326,50,0,300,0,0,0,0,0,0,0,0
62,19,31,0,0,118,120,0,0,19,15816,25982,50,0,300,0,0,0,0,0,0,0,0
63,17,33,0,0,118,124,0,0,17,19963,20960,50,0,300,0,0,0,0,0,0,0,0
64,17,33,0,0,118,124,0,0,17,24466,17330,50,0,300,0,0,0,0,0,0,0,0
65,16,34,0,0,122,126,0,0,16,30405,14372,50,0,300,0,0,0,0,0,0,0,0
66,16,34,0,0,126,132,0,0,16,35812,12177,50,0,300,0,0,0,0,0,0,0,0
67,16,34,0,0,128,138,0,0,17,41088,10320,50,0,300,0,0,0,0,0,0,0,0
68,16,34,0,0,136,140,0,0,17,49824,8186,50,0,300,0,0,0,0,0,0,0,0
69,16,34,0,0,138,142,0,0,18,59548,7028,50,0,300,0,0,0,0,0,0,0,0
70,16,34,0,0,138,146,0,0,18,72804,5793,50,0,300,0,0,0,0,0,0,0,0
71,16,34,0,0,140,146,0,0,19,90908,4574,50,0,300,0,0,0,0,0,0,0,0
72,16,34,0,0,140,146,0,0,19,105370,3718,50,0,300,0,0,0,0,0,0,0,0
