tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,28542,10950,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,27047,11849,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,25070,12851,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,22896,13266,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,20535,14135,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,19095,15094,50,0,300,0,0,0,0,0,0,0,0
7,49,1,0,0,0,0,0,0,49,18574,15895,50,0,300,0,0,0,0,0,0,0,0
8,49,1,0,0,2,0,0,0,49,16820,16961,50,0,300,0,0,0,0,0,0,0,0
9,48,2,0,0,4,0,0,0,48,15868,18627,50,0,300,0,0,0,0,0,0,0,0
10,48,2,0,0,6,0,0,0,48,15355,20482,50,0,300,0,0,0,0,0,0,0,0
11,46,4,0,0,6,0,0,0,46,14462,21782,50,0,300,0,0,0,0,0,0,0,0
12,46,4,0,0,6,0,0,0,46,13356,23478,50,0,300,0,0,0,0,0,0,0,0
13,45,5,0,0,6,0,0,0,45,12703,24731,50,0,300,0,0,0,0,0,0,0,0
14,45,5,0,0,8,0,0,0,45,11272,26961,50,0,300,0,0,0,0,0,0,0,0
15,43,7,0,0,8,0,0,0,43,10851,29549,50,0,300,0,0,0,0,0,0,0,0
16,43,7,0,0,8,2,0,0,43,9906,31602,50,0,300,0,0,0,0,0,0,0,0
17,43,7,0,0,10,2,0,0,43,8985,33113,50,0,300,0,0,0,0,0,0,0,0
18,43,7,0,0,16,2,0,0,43,8648,35515,50,0,300,0,0,0,0,0,0,0,0
19,41,9,0,0,18,6,0,0,41,7879,38013,50,0,300,0,0,0,0,0,0,0,0
20,41,9,0,0,22,10,0,0,41,6983,40729,50,0,300,0,0,0,0,0,0,0,0
21,41,9,0,0,22,10,0,0,41,6530,42638,50,0,300,0,0,0,0,0,0,0,0
22,41,9,0,0,26,10,0,0,41,6302,44776,50,0,300,0,0,0,0,0,0,0,0
23,39,11,0,0,30,12,0,0,39,5829,47626,50,0,300,0,0,0,0,0,0,0,0
24,39,11,0,0,34,12,0,0,39,5205,52362,50,0,300,0,0,0,0,0,0,0,0
25,37,13,0,0,36,12,0,0,37,4908,57785,50,0,300,0,0,0,0,0,0,0,0
26,37,13,0,0,42,14,0,0,37,4433,60940,50,0,300,0,0,0,0,0,0,0,0
27,36,14,0,0,46,18,0,0,36,3888,66648,50,0,300,0,0,0,0,0,0,0,0
28,36,14,0,0,48,22,0,0,36,3595,72202,50,0,300,0,0,0,0,0,0,0,0
29,36,14,0,0,48,28,0,0,36,3239,76796,50,0,300,0,0,0,0,0,0,0,0
30,36,14,0,0,50,32,0,0,36,2953,83371,50,0,300,0,0,0,0,0,0,0,0
31,36,14,0,0,54,32,0,0,36,2608,87155,50,0,300,0,0,0,0,0,0,0,0
32,36,14,0,0,56,34,0,0,36,2476,92319,50,0,300,0,0,0,0,0,0,0,0
33,36,14,0,0,56,38,0,0,36,2293,97700,50,0,300,0,0,0,0,0,0,0,0
34,36,14,0,0,58,38,0,0,36,2193,103659,50,0,300,0,0,0,0,0,0,0,0
35,35,15,0,0,58,40,0,0,35,1931,108375,50,0,300,0,0,0,0,0,0,0,0
36,35,15,0,0,62,40,0,0,35,1845,116048,50,0,300,0,0,0,0,0,0,0,0
37,35,15,0,0,62,46,0,0,35,1801,120617,50,0,300,0,0,0,0,0,0,0,0
38,35,15,0,0,64,50,0,0,35,1705,131005,50,0,300,0,0,0,0,0,0,0,0
39,33,17,0,0,68,50,0,0,33,1593,145173,50,0,300,0,0,0,0,0,0,0,0
40,33,17,0,0,70,52,0,0,33,1500,150476,50,0,300,0,0,0,0,0,0,0,0
41,31,19,0,0,74,56,0,0,31,1380,161168,50,0,300,0,0,0,0,0,0,0,0
42,31,19,0,0,74,56,0,0,31,1275,172601,50,0,300,0,0,0,0,0,0,0,0
43,29,21,0,0,76,56,0,0,29,1236,187667,50,0,300,0,0,0,0,0,0,0,0
44,29,21,0,0,78,58,0,0,29,1372,169389,50,0,300,0,0,0,0,0,0,0,0
45,27,23,0,0,86,58,0,0,27,1584,140481,50,0,300,0,0,0,0,0,0,0,0
46,27,23,0,0,86,64,0,0,27,1789,127265,50,0,300,0,0,0,0,0,0,0,0
47,25,25,0,0,90,70,0,0,25,2165,110937,50,0,300,0,0,0,0,0,0,0,0
48,25,25,0,0,90,72,0,0,25,2310,91411,50,0,300,0,0,0,0,0,0,0,0
49,24,26,0,0,94,76,0,0,24,2725,75385,50,0,300,0,0,0,0,0,0,0,0
50,24,26,0,0,96,84,0,0,24,3182,65163,50,0,300,0,0,0,0,0,0,0,0
51,24,26,0,0,102,88,0,0,24,3841,57162,50,0,300,0,0,0,0,0,0,0,0
52,24,26,0,0,108,90,0,0,24,4142,49506,50,0,300,0,0,0,0,0,0,0,0
53,23,27,0,0,110,92,0,0,23,4369,43740,50,0,300,0,0,0,0,0,0,0,0
54,23,27,0,0,114,92,0,0,23,5008,36337,50,0,300,0,0,0,0,0,0,0,0
55,21,29,0,0,118,94,0,0,21,5715,31744,50,0,300,0,0,0,0,0,0,0,0
56,21,29,0,0,130,96,0,0,21,6044,28555,50,0,300,0,0,0,0,0,0,0,0
57,19,31,0,0,134,100,0,0,19,6479,25985,50,0,300,0,0,0,0,0,0,0,0
58,19,31,0,0,136,104,0,0,19,8151,21443,50,0,300,0,0,0,0,0,0,0,0
59,18,32,0,0,142,104,0,0,18,9945,17486,50,0,300,0,0,0,0,0,0,0,0
60,18,32,0,0,146,110,0,0,18,12876,13778,50,0,300,0,0,0,0,0,0,0,0
61,16,34,0,0,148,116,0,0,16,15503,10820,50,0,300,0,0,0,0,0,0,0,0
62,16,34,0,0,156,118,0,0,16,20131,9151,50,0,300,0,0,0,0,0,0,0,0
63,16,34,0,0,162,124,0,0,17,23455,7705,50,0,300,0,0,0,0,0,0,0,0
64,16,34,0,0,166,126,0,0,17,28089,6386,50,0,300,0,0,0,0,0,0,0,0
65,16,34,0,0,168,130,0,0,18,35675,5481,50,0,300,0,0,0,0,0,0,0,0
66,16,34,0,0,168,138,0,0,18,41206,4279,50,0,300,0,0,0,0,0,0,0,0
67,16,34,0,0,178,140,0,0,19,53229,3555,50,0,300,0,0,0,0,0,0,0,0
68,16,34,0,0,180,144,0,0,19,66306,2895,50,0,300,0,0,0,0,0,0,0,0
