tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,28745,10736,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,26922,11455,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,25146,12256,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,24031,12760,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,23328,13726,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,21653,14568,50,0,300,0,0,0,0,0,0,0,0
7,49,1,0,0,0,0,0,0,49,19770,15715,50,0,300,0,0,0,0,0,0,0,0
8,49,1,0,0,0,0,0,0,49,18376,16688,50,0,300,0,0,0,0,0,0,0,0
9,47,3,0,0,0,0,0,0,47,17327,17780,50,0,300,0,0,0,0,0,0,0,0
10,47,3,0,0,0,4,0,0,47,16101,18638,50,0,300,0,0,0,0,0,0,0,0
11,47,3,0,0,0,6,0,0,47,15540,19846,50,0,300,0,0,0,0,0,0,0,0
12,47,3,0,0,2,8,0,0,47,14158,21046,50,0,300,0,0,0,0,0,0,0,0
13,47,3,0,0,4,8,0,0,47,12758,22320,50,0,300,0,0,0,0,0,0,0,0
14,47,3,0,0,6,8,0,0,47,11777,24201,50,0,300,0,0,0,0,0,0,0,0
15,46,4,0,0,8,8,0,0,46,11033,25384,50,0,300,0,0,0,0,0,0,0,0
16,46,4,0,0,10,8,0,0,46,10434,27082,50,0,300,0,0,0,0,0,0,0,0
17,45,5,0,0,14,10,0,0,45,9527,29269,50,0,300,0,0,0,0,0,0,0,0
18,45,5,0,0,14,10,0,0,45,8903,31431,50,0,300,0,0,0,0,0,0,0,0
19,44,6,0,0,14,10,0,0,44,8258,34155,50,0,300,0,0,0,0,0,0,0,0
20,44,6,0,0,14,10,0,0,44,8009,36848,50,0,300,0,0,0,0,0,0,0,0
21,44,6,0,0,16,10,0,0,44,7424,40078,50,0,300,0,0,0,0,0,0,0,0
22,44,6,0,0,16,10,0,0,44,6691,43886,50,0,300,0,0,0,0,0,0,0,0
23,43,7,0,0,16,12,0,0,43,6185,46081,50,0,300,0,0,0,0,0,0,0,0
24,43,7,0,0,18,12,0,0,43,5715,48077,50,0,300,0,0,0,0,0,0,0,0
25,43,7,0,0,20,12,0,0,43,5248,52421,50,0,300,0,0,0,0,0,0,0,0
26,43,7,0,0,20,12,0,0,43,5002,56942,50,0,300,0,0,0,0,0,0,0,0
27,42,8,0,0,20,14,0,0,42,4778,60119,50,0,300,0,0,0,0,0,0,0,0
28,42,8,0,0,22,14,0,0,42,4302,63731,50,0,300,0,0,0,0,0,0,0,0
29,40,10,0,0,22,16,0,0,40,4019,68997,50,0,300,0,0,0,0,0,0,0,0
30,40,10,0,0,24,16,0,0,40,3849,73459,50,0,300,0,0,0,0,0,0,0,0
31,39,11,0,0,26,20,0,0,39,3642,79257,50,0,300,0,0,0,0,0,0,0,0
32,39,11,0,0,26,20,0,0,39,3206,85733,50,0,300,0,0,0,0,0,0,0,0
33,37,13,0,0,26,20,0,0,37,3036,92886,50,0,300,0,0,0,0,0,0,0,0
34,37,13,0,0,30,24,0,0,37,2811,98833,50,0,300,0,0,0,0,0,0,0,0
35,36,14,0,0,34,26,0,0,36,2584,106686,50,0,300,0,0,0,0,0,0,0,0
36,36,14,0,0,36,28,0,0,36,2454,112278,50,0,300,0,0,0,0,0,0,0,0
37,35,15,0,0,36,32,0,0,35,2256,122843,50,0,300,0,0,0,0,0,0,0,0
38,35,15,0,0,36,38,0,0,35,2225,129827,50,0,300,0,0,0,0,0,0,0,0
39,34,16,0,0,40,40,0,0,34,2102,138719,50,0,300,0,0,0,0,0,0,0,0
40,34,16,0,0,40,48,0,0,34,1945,149433,50,0,300,0,0,0,0,0,0,0,0
41,32,18,0,0,40,50,0,0,32,1806,161195,50,0,300,0,0,0,0,0,0,0,0
42,32,18,0,0,44,50,0,0,32,1668,174437,50,0,300,0,0,0,0,0,0,0,0
43,30,20,0,0,50,54,0,0,30,1584,189908,50,0,300,0,0,0,0,0,0,0,0
44,30,20,0,0,52,60,0,0,30,1412,199543,50,0,300,0,0,0,0,0,0,0,0
45,28,22,0,0,56,62,0,0,28,1268,219713,50,0,300,0,0,0,0,0,0,0,0
46,28,22,0,0,60,72,0,0,28,1482,198683,50,0,300,0,0,0,0,0,0,0,0
47,26,24,0,0,62,76,0,0,26,1580,171641,50,0,300,0,0,0,0,0,0,0,0
48,26,24,0,0,66,78,0,0,26,1738,143780,50,0,300,0,0,0,0,0,0,0,0
49,25,25,0,0,70,84,0,0,25,1966,123829,50,0,300,0,0,0,0,0,0,0,0
50,25,25,0,0,70,92,0,0,25,2280,108784,50,0,300,0,0,0,0,0,0,0,0
51,24,26,0,0,72,94,0,0,24,2472,97777,50,0,300,0,0,0,0,0,0,0,0
52,24,26,0,0,74,98,0,0,24,2641,89377,50,0,300,0,0,0,0,0,0,0,0
53,23,27,0,0,76,98,0,0,23,2995,81611,50,0,300,0,0,0,0,0,0,0,0
54,23,27,0,0,76,106,0,0,23,3553,72941,50,0,300,0,0,0,0,0,0,0,0
55,22,28,0,0,76,114,0,0,22,4310,66194,50,0,300,0,0,0,0,0,0,0,0
56,22,28,0,0,82,116,0,0,22,5110,59195,50,0,300,0,0,0,0,0,0,0,0
57,22,28,0,0,84,116,0,0,22,5654,51868,50,0,300,0,0,0,0,0,0,0,0
58,22,28,0,0,92,120,0,0,22,5876,45348,50,0,300,0,0,0,0,0,0,0,0
59,20,30,0,0,96,124,0,0,20,6936,41321,50,0,300,0,0,0,0,0,0,0,0
60,20,30,0,0,96,128,0,0,20,7357,35338,50,0,300,0,0,0,0,0,0,0,0
61,20,30,0,0,106,128,0,0,20,8624,31517,50,0,300,0,0,0,0,0,0,0,0
62,20,30,0,0,108,137,0,0,20,9449,28408,50,0,300,0,0,0,0,0,0,0,0
63,20,30,0,0,108,141,0,0,20,10662,25159,50,0,300,0,0,0,0,0,0,0,0
64,20,30,0,0,108,145,0,0,20,11192,21191,50,0,300,0,0,0,0,0,0,0,0
65,19,31,0,0,114,145,0,0,19,12071,18485,50,0,300,0,0,0,0,0,0,0,0
66,19,31,0,0,116,151,0,0,19,14447,14483,50,0,300,0,0,0,0,0,0,0,0
67,18,32,0,0,116,157,0,0,18,16862,11862,50,0,300,0,0,0,0,0,0,0,0
68,18,32,0,0,118,159,0,0,18,22113,9435,50,0,300,0,0,0,0,0,0,0,0
69,18,32,0,0,124,159,0,0,18,27555,8308,50,0,300,0,0,0,0,0,0,0,0
70,18,32,0,0,124,163,0,0,18,33678,6757,50,0,300,0,0,0,0,0,0,0,0
71,18,32,0,0,126,167,0,0,19,39803,5493,50,0,300,0,0,0,0,0,0,0,0
72,18,32,0,0,128,167,0,0,19,48927,4529,50,0,300,0,0,0,0,0,0,0,0
73,18,32,0,0,136,173,0,0,20,60442,3506,50,0,300,0,0,0,0,0,0,0,0
74,18,32,0,0,140,179,0,0,20,66766,3122,50,0,300,0,0,0,0,0,0,0,0
75,18,32,0,0,140,181,0,0,21,77589,2831,50,0,300,0,0,0,0,0,0,0,0
76,18,32,0,0,144,181,0,0,21,88533,2505,50,0,300,0,0,0,0,0,0,0,0
77,18,32,0,0,152,185,0,0,21,96872,2077,50,0,300,0,0,0,0,0,0,0,0
78,18,32,0,0,150,187,1,0,21,115488,1848,50,0,300,0,0,0,0,0,0,0,0
