tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,28663,10895,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,28299,11768,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,26184,12710,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,23795,13538,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,22114,14209,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,20784,15098,50,0,300,0,0,0,0,0,0,0,0
7,49,1,0,0,0,0,0,0,49,19586,15987,50,0,300,0,0,0,0,0,0,0,0
8,49,1,0,0,0,0,0,0,49,17858,16972,50,0,300,0,0,0,0,0,0,0,0
9,48,2,0,0,0,4,0,0,48,17351,18447,50,0,300,0,0,0,0,0,0,0,0
10,48,2,0,0,0,4,0,0,48,15934,19539,50,0,300,0,0,0,0,0,0,0,0
11,47,3,0,0,2,4,0,0,47,15004,20744,50,0,300,0,0,0,0,0,0,0,0
12,47,3,0,0,2,6,0,0,47,13640,22399,50,0,300,0,0,0,0,0,0,0,0
13,47,3,0,0,2,6,0,0,47,12733,23829,50,0,300,0,0,0,0,0,0,0,0
14,47,3,0,0,2,6,0,0,47,11731,25551,50,0,300,0,0,0,0,0,0,0,0
15,45,5,0,0,4,8,0,0,45,10398,27152,50,0,300,0,0,0,0,0,0,0,0
16,45,5,0,0,6,8,0,0,45,9401,28948,50,0,300,0,0,0,0,0,0,0,0
17,45,5,0,0,6,8,0,0,45,8834,31924,50,0,300,0,0,0,0,0,0,0,0
18,45,5,0,0,8,10,0,0,45,8463,35352,50,0,300,0,0,0,0,0,0,0,0
19,44,6,0,0,8,10,0,0,44,8182,38303,50,0,300,0,0,0,0,0,0,0,0
20,44,6,0,0,10,10,0,0,44,7783,40538,50,0,300,0,0,0,0,0,0,0,0
21,44,6,0,0,12,10,0,0,44,7443,43174,50,0,300,0,0,0,0,0,0,0,0
22,44,6,0,0,12,10,0,0,44,7124,45394,50,0,300,0,0,0,0,0,0,0,0
23,44,6,0,0,14,14,0,0,44,6789,48128,50,0,300,0,0,0,0,0,0,0,0
24,44,6,0,0,16,14,0,0,44,6353,50301,50,0,300,0,0,0,0,0,0,0,0
25,44,6,0,0,16,14,0,0,44,5959,54961,50,0,300,0,0,0,0,0,0,0,0
26,44,6,0,0,16,14,0,0,44,5528,58740,50,0,300,0,0,0,0,0,0,0,0
27,42,8,0,0,18,16,0,0,42,5023,61895,50,0,300,0,0,0,0,0,0,0,0
28,42,8,0,0,22,16,0,0,42,4710,65955,50,0,300,0,0,0,0,0,0,0,0
29,42,8,0,0,22,16,0,0,42,4485,73005,50,0,300,0,0,0,0,0,0,0,0
30,42,8,0,0,22,16,0,0,42,3990,76422,50,0,300,0,0,0,0,0,0,0,0
31,42,8,0,0,26,16,0,0,42,3694,81399,50,0,300,0,0,0,0,0,0,0,0
32,42,8,0,0,28,18,0,0,42,3386,88734,50,0,300,0,0,0,0,0,0,0,0
33,42,8,0,0,28,20,0,0,42,3040,96430,50,0,300,0,0,0,0,0,0,0,0
34,42,8,0,0,30,20,0,0,42,2875,102155,50,0,300,0,0,0,0,0,0,0,0
35,42,8,0,0,30,20,0,0,42,2696,111138,50,0,300,0,0,0,0,0,0,0,0
36,42,8,0,0,30,20,0,0,42,2391,120712,50,0,300,0,0,0,0,0,0,0,0
37,41,9,0,0,32,22,0,0,41,2287,130632,50,0,300,0,0,0,0,0,0,0,0
38,41,9,0,0,32,22,0,0,41,2078,142271,50,0,300,0,0,0,0,0,0,0,0
39,40,10,0,0,34,24,0,0,40,1908,151890,50,0,300,0,0,0,0,0,0,0,0
40,40,10,0,0,34,26,0,0,40,1729,163469,50,0,300,0,0,0,0,0,0,0,0
41,39,11,0,0,36,30,0,0,39,1591,177375,50,0,300,0,0,0,0,0,0,0,0
42,39,11,0,0,38,32,0,0,39,1479,190922,50,0,300,0,0,0,0,0,0,0,0
43,38,12,0,0,44,32,0,0,38,1347,212225,50,0,300,0,0,0,0,0,0,0,0
44,38,12,0,0,46,32,0,0,38,1228,226287,50,0,300,0,0,0,0,0,0,0,0
45,37,13,0,0,46,36,0,0,37,1188,244364,50,0,300,0,0,0,0,0,0,0,0
46,37,13,0,0,46,38,0,0,37,1119,255365,50,0,300,0,0,0,0,0,0,0,0
47,35,15,0,0,46,42,0,0,35,1035,273050,50,0,300,0,0,0,0,0,0,0,0
48,35,15,0,0,46,44,0,0,35,1018,297756,50,0,300,0,0,0,0,0,0,0,0
49,35,15,0,0,48,50,0,0,35,978,318244,50,0,300,0,0,0,0,0,0,0,0
50,35,15,0,0,50,50,0,0,35,941,340868,50,0,300,0,0,0,0,0,0,0,0
51,34,16,0,0,56,52,0,0,34,864,366597,50,0,300,0,0,0,0,0,0,0,0
52,34,16,0,0,58,56,0,0,34,827,383502,50,0,300,0,0,0,0,0,0,0,0
53,34,16,0,0,60,58,0,0,34,753,408069,50,0,300,0,0,0,0,0,0,0,0
54,34,16,0,0,64,60,0,0,34,703,450633,50,0,300,0,0,0,0,0,0,0,0
