tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,28067,10968,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,25522,11936,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,24492,12632,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,23319,13887,50,0,300,0,0,0,0,0,0,0,0
5,49,1,0,0,0,0,0,0,49,21103,14931,50,0,300,0,0,0,0,0,0,0,0
6,49,1,0,0,0,0,0,0,49,19464,16303,50,0,300,0,0,0,0,0,0,0,0
7,47,3,0,0,0,0,0,0,47,18620,17216,50,0,300,0,0,0,0,0,0,0,0
8,47,3,0,0,0,2,0,0,47,16968,17993,50,0,300,0,0,0,0,0,0,0,0
9,45,5,0,0,4,2,0,0,45,15358,18880,50,0,300,0,0,0,0,0,0,0,0
10,45,5,0,0,4,6,0,0,45,14703,20142,50,0,300,0,0,0,0,0,0,0,0
11,44,6,0,0,4,10,0,0,44,13748,21309,50,0,300,0,0,0,0,0,0,0,0
12,44,6,0,0,4,12,0,0,44,12810,22893,50,0,300,0,0,0,0,0,0,0,0
13,44,6,0,0,6,14,0,0,44,12450,23864,50,0,300,0,0,0,0,0,0,0,0
14,44,6,0,0,6,16,0,0,44,11766,25664,50,0,300,0,0,0,0,0,0,0,0
15,42,8,0,0,8,16,0,0,42,11263,27225,50,0,300,0,0,0,0,0,0,0,0
16,42,8,0,0,12,18,0,0,42,10450,28918,50,0,300,0,0,0,0,0,0,0,0
17,40,10,0,0,18,22,0,0,40,9999,30914,50,0,300,0,0,0,0,0,0,0,0
18,40,10,0,0,18,24,0,0,40,9309,33331,50,0,300,0,0,0,0,0,0,0,0
19,39,11,0,0,18,24,0,0,39,8790,35695,50,0,300,0,0,0,0,0,0,0,0
20,39,11,0,0,20,24,0,0,39,8018,38676,50,0,300,0,0,0,0,0,0,0,0
21,37,13,0,0,28,24,0,0,37,7559,41359,50,0,300,0,0,0,0,0,0,0,0
22,37,13,0,0,30,26,0,0,37,6757,44431,50,0,300,0,0,0,0,0,0,0,0
23,36,14,0,0,32,30,0,0,36,6274,47846,50,0,300,0,0,0,0,0,0,0,0
24,36,14,0,0,34,32,0,0,36,5814,51817,50,0,300,0,0,0,0,0,0,0,0
25,35,15,0,0,38,36,0,0,35,5556,56312,50,0,300,0,0,0,0,0,0,0,0
26,35,15,0,0,38,40,0,0,35,5198,59576,50,0,300,0,0,0,0,0,0,0,0
27,34,16,0,0,40,40,0,0,34,4853,65156,50,0,300,0,0,0,0,0,0,0,0
28,34,16,0,0,42,40,0,0,34,4541,68505,50,0,300,0,0,0,0,0,0,0,0
29,32,18,0,0,42,40,0,0,32,4284,73654,50,0,300,0,0,0,0,0,0,0,0
30,32,18,0,0,48,44,0,0,32,3957,78172,50,0,300,0,0,0,0,0,0,0,0
31,30,20,0,0,54,48,0,0,30,3714,85830,50,0,300,0,0,0,0,0,0,0,0
32,30,20,0,0,54,56,0,0,30,3615,92061,50,0,300,0,0,0,0,0,0,0,0
33,29,21,0,0,62,62,0,0,29,4075,78519,50,0,300,0,0,0,0,0,0,0,0
34,29,21,0,0,62,64,0,0,29,4889,72170,50,0,300,0,0,0,0,0,0,0,0
35,29,21,0,0,66,68,0,0,29,5454,59662,50,0,300,0,0,0,0,0,0,0,0
36,29,21,0,0,68,70,0,0,29,6515,55983,50,0,300,0,0,0,0,0,0,0,0
37,27,23,0,0,72,70,0,0,27,7514,47676,50,0,300,0,0,0,0,0,0,0,0
38,27,23,0,0,76,72,0,0,27,8506,40390,50,0,300,0,0,0,0,0,0,0,0
39,25,25,0,0,78,74,0,0,25,8948,32603,50,0,300,0,0,0,0,0,0,0,0
40,25,25,0,0,84,78,0,0,25,9942,27847,50,0,300,0,0,0,0,0,0,0,0
41,24,26,0,0,88,80,0,0,24,11463,23734,50,0,300,0,0,0,0,0,0,0,0
42,24,26,0,0,88,84,0,0,24,12962,21461,50,0,300,0,0,0,0,0,0,0,0
43,23,27,0,0,96,88,0,0,23,16014,18656,50,0,300,0,0,0,0,0,0,0,0
44,23,27,0,0,98,92,0,0,23,18555,16224,50,0,300,0,0,0,0,0,0,0,0
