tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,28034,10788,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,26277,11695,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,25895,12632,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,24503,13802,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,23008,14691,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,22328,15987,50,0,300,0,0,0,0,0,0,0,0
7,50,0,0,0,0,0,0,0,50,21470,17266,50,0,300,0,0,0,0,0,0,0,0
8,50,0,0,0,0,0,0,0,50,20453,18393,50,0,300,0,0,0,0,0,0,0,0
9,48,2,0,0,0,0,0,0,48,19454,20182,50,0,300,0,0,0,0,0,0,0,0
10,48,2,0,0,2,0,0,0,48,18247,22095,50,0,300,0,0,0,0,0,0,0,0
11,47,3,0,0,2,0,0,0,47,16836,23679,50,0,300,0,0,0,0,0,0,0,0
12,47,3,0,0,4,0,0,0,47,16225,26280,50,0,300,0,0,0,0,0,0,0,0
13,47,3,0,0,8,2,0,0,47,15370,27916,50,0,300,0,0,0,0,0,0,0,0
14,47,3,0,0,8,2,0,0,47,13791,30671,50,0,300,0,0,0,0,0,0,0,0
15,46,4,0,0,8,2,0,0,46,12702,34066,50,0,300,0,0,0,0,0,0,0,0
16,46,4,0,0,8,2,0,0,46,11286,36688,50,0,300,0,0,0,0,0,0,0,0
17,45,5,0,0,8,2,0,0,45,10510,40002,50,0,300,0,0,0,0,0,0,0,0
18,45,5,0,0,10,4,0,0,45,10131,43225,50,0,300,0,0,0,0,0,0,0,0
19,43,7,0,0,10,8,0,0,43,9343,47045,50,0,300,0,0,0,0,0,0,0,0
20,43,7,0,0,12,10,0,0,43,8726,50428,50,0,300,0,0,0,0,0,0,0,0
21,41,9,0,0,14,12,0,0,41,8338,52789,50,0,300,0,0,0,0,0,0,0,0
22,41,9,0,0,14,14,0,0,41,8022,57080,50,0,300,0,0,0,0,0,0,0,0
23,40,10,0,0,16,16,0,0,40,7297,61411,50,0,300,0,0,0,0,0,0,0,0
24,40,10,0,0,18,18,0,0,40,6663,65519,50,0,300,0,0,0,0,0,0,0,0
25,38,12,0,0,20,22,0,0,38,6419,70184,50,0,300,0,0,0,0,0,0,0,0
26,38,12,0,0,20,26,0,0,38,5800,76718,50,0,300,0,0,0,0,0,0,0,0
27,38,12,0,0,22,26,0,0,38,5575,81334,50,0,300,0,0,0,0,0,0,0,0
28,38,12,0,0,22,28,0,0,38,5100,85361,50,0,300,0,0,0,0,0,0,0,0
29,36,14,0,0,22,28,0,0,36,5075,92320,50,0,300,0,0,0,0,0,0,0,0
30,36,14,0,0,24,28,0,0,36,4761,99532,50,0,300,0,0,0,0,0,0,0,0
31,34,16,0,0,24,30,0,0,34,4430,108004,50,0,300,0,0,0,0,0,0,0,0
32,34,16,0,0,24,30,0,0,34,4226,113752,50,0,300,0,0,0,0,0,0,0,0
33,34,16,0,0,26,32,0,0,34,3883,124215,50,0,300,0,0,0,0,0,0,0,0
34,34,16,0,0,28,32,0,0,34,3568,134432,50,0,300,0,0,0,0,0,0,0,0
35,32,18,0,0,34,36,0,0,32,3386,145173,50,0,300,0,0,0,0,0,0,0,0
36,32,18,0,0,36,40,0,0,32,3143,155105,50,0,300,0,0,0,0,0,0,0,0
37,31,19,0,0,38,40,0,0,31,2923,165730,50,0,300,0,0,0,0,0,0,0,0
38,31,19,0,0,40,42,0,0,31,2677,180186,50,0,300,0,0,0,0,0,0,0,0
39,31,19,0,0,42,44,0,0,31,2335,190228,50,0,300,0,0,0,0,0,0,0,0
40,31,19,0,0,42,48,0,0,31,2196,202908,50,0,300,0,0,0,0,0,0,0,0
41,30,20,0,0,44,52,0,0,30,2024,213222,50,0,300,0,0,0,0,0,0,0,0
42,30,20,0,0,44,54,0,0,30,1894,229924,50,0,300,0,0,0,0,0,0,0,0
43,29,21,0,0,46,56,0,0,29,1994,194463,50,0,300,0,0,0,0,0,0,0,0
44,29,21,0,0,48,56,0,0,29,2048,164862,50,0,300,0,0,0,0,0,0,0,0
45,28,22,0,0,52,60,0,0,28,2339,144609,50,0,300,0,0,0,0,0,0,0,0
46,28,22,0,0,56,62,0,0,28,2637,134882,50,0,300,0,0,0,0,0,0,0,0
47,28,22,0,0,60,62,0,0,28,2975,115091,50,0,300,0,0,0,0,0,0,0,0
48,28,22,0,0,60,64,0,0,28,3390,102353,50,0,300,0,0,0,0,0,0,0,0
49,28,22,0,0,64,64,0,0,28,3822,85386,50,0,300,0,0,0,0,0,0,0,0
50,28,22,0,0,64,64,0,0,28,4364,70081,50,0,300,0,0,0,0,0,0,0,0
51,28,22,0,0,64,64,0,0,28,5040,62671,50,0,300,0,0,0,0,0,0,0,0
52,28,22,0,0,66,68,0,0,28,5673,54746,50,0,300,0,0,0,0,0,0,0,0
53,27,23,0,0,68,76,0,0,27,6565,48804,50,0,300,0,0,0,0,0,0,0,0
54,27,23,0,0,70,78,0,0,27,7790,42587,50,0,300,0,0,0,0,0,0,0,0
55,25,25,0,0,74,80,0,0,25,8538,35506,50,0,300,0,0,0,0,0,0,0,0
56,25,25,0,0,76,82,0,0,25,8917,29909,50,0,300,0,0,0,0,0,0,0,0
57,24,26,0,0,76,86,0,0,24,10153,24758,50,0,300,0,0,0,0,0,0,0,0
58,24,26,0,0,76,88,0,0,24,12176,22965,50,0,300,0,0,0,0,0,0,0,0
59,22,28,0,0,78,94,0,0,22,14283,18911,50,0,300,0,0,0,0,0,0,0,0
60,22,28,0,0,82,94,0,0,22,16775,16584,50,0,300,0,0,0,0,0,0,0,0
61,21,29,0,0,84,98,0,0,21,18871,14899,50,0,300,0,0,0,0,0,0,0,0
62,21,29,0,0,88,100,0,0,21,21614,12311,50,0,300,0,0,0,0,0,0,0,0
63,21,29,0,0,94,100,0,0,21,25310,11034,50,0,300,0,0,0,0,0,0,0,0
64,21,29,0,0,98,104,0,0,21,29362,10156,50,0,300,0,0,0,0,0,0,0,0
65,21,29,0,0,100,108,0,0,21,32556,9517,50,0,300,0,0,0,0,0,0,0,0
66,21,29,0,0,104,110,0,0,21,40026,8305,50,0,300,0,0,0,0,0,0,0,0
67,21,29,0,0,110,110,0,0,21,41689,7084,50,0,300,0,0,0,0,0,0,0,0
68,21,29,0,0,110,116,0,0,21,48334,5958,50,0,300,0,0,0,0,0,0,0,0
69,21,29,0,0,110,116,0,0,22,57452,5236,50,0,300,0,0,0,0,0,0,0,0
70,21,29,0,0,112,118,0,0,22,62140,4352,50,0,300,0,0,0,0,0,0,0,0
71,21,29,0,0,112,122,0,0,22,74832,3887,50,0,300,0,0,0,0,0,0,0,0
72,21,29,0,0,116,124,0,0,22,85217,3343,50,0,300,0,0,0,0,0,0,0,0
73,21,29,0,0,118,128,0,0,22,92769,2778,50,0,300,0,0,0,0,0,0,0,0
74,21,29,0,0,122,130,0,0,22,100810,2536,50,0,300,0,0,0,0,0,0,0,0
75,21,29,0,0,128,134,0,0,22,126658,2155,50,0,300,0,0,0,0,0,0,0,0
76,21,29,0,0,128,134,0,0,22,142872,1972,50,0,300,0,0,0,0,0,0,0,0
77,21,29,0,0,128,140,0,0,22,147890,1663,50,0,300,0,0,0,0,0,0,0,0
78,21,29,0,0,128,142,0,0,22,174354,1365,50,0,300,0,0,0,0,0,0,0,0
79,21,29,0,0,128,142,0,0,23,185983,1199,50,0,300,0,0,0,0,0,0,0,0
80,21,29,0,0,130,146,0,0,23,195653,1058,50,0,300,0,0,0,0,0,0,0,0
81,21,29,0,0,134,148,0,0,23,233122,959,50,0,300,0,0,0,0,0,0,0,0
82,21,29,0,0,134,150,0,0,23,283158,841,50,0,300,0,0,0,0,0,0,0,0
83,21,29,0,0,134,156,0,0,24,299042,764,50,0,300,0,0,0,0,0,0,0,0
84,21,29,0,0,140,158,0,0,24,328276,679,50,0,300,0,0,0,0,0,0,0,0
85,21,29,0,0,140,160,0,0,24,361910,585,50,0,300,0,0,0,0,0,0,0,0
86,21,29,0,0,144,160,0,0,24,399249,500,50,0,300,0,0,0,0,0,0,0,0
87,21,29,0,0,144,164,0,0,24,429809,435,50,0,300,0,0,0,0,0,0,0,0
