tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory,condition
1.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,27777.0,10798.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
2.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,25878.066666666666,11641.933333333332,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
3.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,24301.066666666666,12554.8,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
4.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,22637.2,13335.0,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
5.0,49.8,0.2,0.0,0.0,0.0,0.0,49.8,21098.733333333334,14292.133333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
6.0,49.8,0.2,0.26666666666666666,0.0,0.0,0.0,49.8,19855.266666666666,15327.533333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
7.0,48.733333333333334,1.2666666666666666,0.4,0.13333333333333333,0.0,0.0,48.733333333333334,18682.666666666668,16518.466666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
8.0,48.733333333333334,1.2666666666666666,0.8,0.6666666666666666,0.0,0.0,48.733333333333334,17230.733333333334,17648.466666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
9.0,47.2,2.8,1.4666666666666666,1.3333333333333333,0.0,0.0,47.2,15981.666666666666,19005.0,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
10.0,47.2,2.8,2.1333333333333333,2.8,0.0,0.0,47.2,15107.333333333334,20368.333333333332,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
11.0,46.266666666666666,3.7333333333333334,2.6666666666666665,4.0,0.0,0.0,46.266666666666666,14125.133333333333,21768.066666666666,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
12.0,46.266666666666666,3.7333333333333334,3.2,5.466666666666667,0.0,0.0,46.266666666666666,13171.866666666667,23396.933333333334,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
13.0,45.46666666666667,4.533333333333333,4.4,6.4,0.0,0.0,45.46666666666667,12356.4,24999.6,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
14.0,45.46666666666667,4.533333333333333,4.933333333333334,7.466666666666667,0.0,0.0,45.46666666666667,11363.266666666666,26904.466666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
15.0,44.4,5.6,5.733333333333333,8.533333333333333,0.0,0.0,44.4,10648.933333333332,29049.6,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
16.0,44.4,5.6,6.933333333333334,9.333333333333334,0.0,0.0,44.4,9790.666666666666,31155.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
17.0,43.2,6.8,8.266666666666667,11.066666666666666,0.0,0.0,43.2,8989.4,33494.13333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
18.0,43.2,6.8,10.133333333333333,12.266666666666667,0.0,0.0,43.2,8320.533333333333,35936.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
19.0,42.13333333333333,7.866666666666666,11.066666666666666,13.733333333333333,0.0,0.0,42.13333333333333,7789.133333333333,38533.8,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
20.0,42.13333333333333,7.866666666666666,13.333333333333334,15.2,0.0,0.0,42.13333333333333,7232.866666666667,41367.26666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mixed
