tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.834033538095,170.8218370115485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.8619047496588,304.57175764596985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.4770651316933,372.52276589640945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1394.4228435688608,448.07247677629624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6324555320336758,0.6324555320336759,0.6324555320336759,0.6324555320336759,0.0,0.0,0.6324555320336758,1424.2195874700406,448.58077434405374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6324555320336758,0.6324555320336759,0.6324555320336759,1.2649110640673518,0.0,0.0,0.6324555320336758,1366.6795771747913,548.0653752569626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.3165611772087662,1.3165611772087666,1.8973665961010275,1.349897115421106,0.0,0.0,1.3165611772087662,1076.8467135318956,570.071145657374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.3165611772087662,1.3165611772087666,1.8973665961010275,1.9436506316151,0.0,0.0,1.3165611772087662,1389.2121668213404,610.0000364298712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.728840330651992,1.728840330651992,3.134042472944842,2.1186998109427604,0.0,0.0,1.728840330651992,1425.6355463831248,759.8263617432606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.728840330651992,1.728840330651992,2.981423969999719,2.065591117977289,0.0,0.0,1.728840330651992,1492.5328807098358,755.192661216696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.7159383568311664,1.7159383568311668,3.6270588023294517,2.7968235951204043,0.0,0.0,1.7159383568311664,1297.6052344393672,750.7582833375868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.7159383568311664,1.7159383568311668,4.1952353926806065,3.681787005729087,0.0,0.0,1.7159383568311664,1279.2794890527693,978.1360732422544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
