tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory,condition
24.0,39.93333333333333,10.066666666666666,18.666666666666668,22.8,0.0,0.0,39.93333333333333,2791.4,73813.73333333334,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
25.0,39.4,10.6,21.066666666666666,24.133333333333333,0.0,0.0,39.4,2550.4,80223.06666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
26.0,39.4,10.6,23.466666666666665,25.333333333333332,0.0,0.0,39.4,2294.4,86786.06666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
27.0,38.86666666666667,11.133333333333333,24.933333333333334,26.533333333333335,0.0,0.0,38.86666666666667,2077.0666666666666,94713.66666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
28.0,38.86666666666667,11.133333333333333,27.066666666666666,27.733333333333334,0.0,0.0,38.86666666666667,1896.6,103096.06666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
29.0,37.8,12.2,28.266666666666666,29.733333333333334,0.0,0.0,37.8,1702.0,111204.8,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
30.0,37.8,12.2,29.6,30.933333333333334,0.0,0.0,37.8,1532.0,120309.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
31.0,36.8,13.2,31.6,32.8,0.0,0.0,36.8,1385.6,130291.06666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
32.0,36.8,13.2,33.6,35.2,0.0,0.0,36.8,1270.5333333333333,141374.46666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
33.0,35.733333333333334,14.266666666666667,35.733333333333334,37.333333333333336,0.0,0.0,35.733333333333334,1168.0666666666666,153546.0,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
34.0,35.733333333333334,14.266666666666667,37.06666666666667,38.93333333333333,0.0,0.0,35.733333333333334,1068.4,167185.53333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
35.0,34.733333333333334,15.266666666666667,38.93333333333333,41.86666666666667,0.0,0.0,34.733333333333334,968.3333333333334,181466.86666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
36.0,34.733333333333334,15.266666666666667,41.333333333333336,43.86666666666667,0.0,0.0,34.733333333333334,899.2666666666667,192839.93333333332,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
37.0,33.93333333333333,16.066666666666666,44.0,46.0,0.0,0.0,33.93333333333333,841.4,205170.4,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
38.0,33.93333333333333,16.066666666666666,46.0,47.86666666666667,0.0,0.0,33.93333333333333,794.3333333333334,218521.6,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
39.0,32.666666666666664,17.333333333333332,48.266666666666666,50.666666666666664,0.0,0.0,32.666666666666664,750.8,235554.8,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
40.0,32.666666666666664,17.333333333333332,49.86666666666667,53.333333333333336,0.0,0.0,32.666666666666664,715.8,251974.13333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
41.0,31.533333333333335,18.466666666666665,52.666666666666664,56.266666666666666,0.0,0.0,31.533333333333335,695.5333333333333,270135.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
42.0,31.533333333333335,18.466666666666665,54.93333333333333,58.8,0.0,0.0,31.533333333333335,671.6666666666666,289524.3333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
43.0,30.8,19.2,58.13333333333333,60.13333333333333,0.0,0.0,30.8,671.8,308518.73333333334,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
44.0,30.8,19.2,60.266666666666666,62.266666666666666,0.0,0.0,30.8,681.2,324273.86666666664,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
45.0,30.0,20.0,62.8,64.4,0.0,0.0,30.0,712.0666666666667,327203.13333333336,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
46.0,30.0,20.0,64.53333333333333,66.8,0.0,0.0,30.0,738.0666666666667,336167.3333333333,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
47.0,28.933333333333334,21.066666666666666,66.13333333333334,69.6,0.06666666666666667,0.0,28.933333333333334,798.4,343485.13333333336,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
48.0,28.933333333333334,21.066666666666666,68.8,71.6,0.06666666666666667,0.0,28.933333333333334,840.2,332711.8,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
49.0,27.866666666666667,22.133333333333333,72.13333333333334,74.26666666666667,0.06666666666666667,0.0,27.866666666666667,902.0,326624.2,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
50.0,27.866666666666667,22.133333333333333,74.13333333333334,76.26666666666667,0.06666666666666667,0.0,27.866666666666667,969.4666666666667,318627.0,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
51.0,26.866666666666667,23.133333333333333,76.53333333333333,78.53333333333333,0.06666666666666667,0.0,26.866666666666667,1033.8,317494.4666666667,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
52.0,26.866666666666667,23.133333333333333,78.13333333333334,81.33333333333333,0.06666666666666667,0.0,26.866666666666667,1156.4,312013.8,50.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unhealthy
