tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory,condition
356.0,0.0,50.0,373.1,373.9,23.8,24.2,30.5,2355984.1,102152.5,26.4,23.6,136.6,49.1,114.3,719.3,339.1,717.5,341.9,1043.1,1071.2,healthy
357.0,0.0,50.0,373.2,372.4,23.9,24.4,30.7,2898358.0,106212.0,26.1,23.9,136.6,48.9,114.5,655.9,356.0,651.9,357.4,1055.1,1083.1,healthy
358.0,0.0,50.0,374.0,373.0,23.8,24.4,30.7,3253878.6,109641.1,26.0,24.0,136.6,48.7,114.7,668.8,356.4,664.8,358.5,1067.5,1094.7,healthy
359.0,0.0,50.0,375.0,373.3,23.6,24.3,30.7,3929198.9,114222.5,26.1,23.9,136.6,48.7,114.7,680.5,357.4,676.4,358.9,1079.4,1106.7,healthy
360.0,0.0,50.0,375.4,373.7,23.6,24.3,30.7,4834857.9,118782.7,26.2,23.8,136.6,48.6,114.8,692.0,358.5,693.7,359.1,1091.0,1118.9,healthy
361.0,0.0,50.0,374.6,373.5,23.8,24.5,31.2,5790472.5,125039.3,26.0,24.0,136.6,48.6,114.8,706.9,358.8,707.5,360.2,1102.8,1131.1,healthy
362.0,0.0,50.0,373.9,371.5,24.0,25.0,31.2,6139439.8,131126.2,26.3,23.7,136.6,48.4,115.0,652.4,373.4,656.0,373.2,1115.0,1142.6,healthy
363.0,0.0,50.0,373.7,372.2,24.1,24.8,31.5,6902518.9,137000.0,26.4,23.6,136.6,48.3,115.1,665.9,374.4,671.2,373.2,1126.4,1154.8,healthy
364.0,0.0,50.0,374.3,373.2,24.0,24.8,31.5,7517359.3,143555.5,26.6,23.4,136.6,48.1,115.3,677.0,375.7,679.8,374.9,1138.4,1166.2,healthy
365.0,0.0,50.0,374.3,373.4,23.9,24.8,31.7,8679708.2,149014.7,25.8,24.2,136.6,48.0,115.4,692.8,376.0,695.7,375.3,1150.3,1178.5,healthy
366.0,0.0,50.0,372.9,372.7,24.2,25.0,31.7,10128414.6,156559.8,26.1,23.9,136.5,47.9,115.6,705.8,375.6,714.4,374.8,1160.1,1192.6,healthy
367.0,0.0,50.0,372.9,371.8,24.3,25.2,32.0,11787939.3,161658.0,27.1,22.9,136.5,47.9,115.6,650.1,389.2,653.5,389.8,1172.8,1202.8,healthy
368.0,0.0,50.0,373.7,372.2,24.3,25.1,32.0,11870786.9,172573.3,27.3,22.7,136.2,48.0,115.8,665.5,389.6,666.4,390.0,1185.5,1212.8,healthy
369.0,0.0,50.0,374.3,373.2,24.3,25.0,32.7,11836131.7,183022.4,27.1,22.9,134.1,49.9,116.0,678.1,389.9,678.6,390.7,1196.7,1224.5,healthy
370.0,0.0,50.0,375.3,373.9,24.3,25.0,32.7,11104875.6,195265.9,27.0,23.0,133.1,50.5,116.4,689.7,391.5,695.7,391.3,1208.1,1236.1,healthy
371.0,0.0,50.0,375.7,374.3,24.4,24.9,32.9,10653581.4,207587.8,27.8,22.2,132.6,50.7,116.7,709.5,390.7,710.2,391.9,1219.9,1246.5,healthy
372.0,0.0,50.0,375.0,372.4,24.5,25.1,32.9,10394478.1,186390.5,27.9,22.1,131.0,52.1,116.9,663.2,403.5,653.4,408.1,1230.8,1257.7,healthy
373.0,0.0,50.0,375.4,372.6,24.5,25.1,33.0,10084215.1,167154.3,28.2,21.8,130.0,53.1,116.9,683.0,403.7,666.1,408.6,1241.3,1269.0,healthy
374.0,0.0,50.0,375.8,372.4,24.5,25.0,33.0,9849198.4,160975.3,28.5,21.5,130.0,53.0,117.0,697.0,404.7,684.7,408.1,1252.5,1279.3,healthy
375.0,0.0,50.0,377.0,372.8,24.5,25.0,33.4,9982689.8,150500.2,28.2,21.8,130.0,52.9,117.1,712.6,405.2,698.4,409.2,1263.5,1290.1,healthy
376.0,0.0,50.0,377.5,371.6,24.5,25.3,33.4,9294911.9,142291.8,27.5,22.5,130.0,52.9,117.1,725.7,405.9,718.4,409.4,1275.7,1300.4,healthy
377.0,0.0,50.0,376.3,370.4,24.8,25.5,33.2,8818284.6,137829.9,27.6,22.4,130.0,52.8,117.2,670.2,421.1,666.3,423.7,1286.3,1312.2,healthy
378.0,0.0,50.0,376.4,371.4,24.7,25.4,33.2,8826898.2,134324.5,27.2,22.8,130.0,52.7,117.3,685.6,421.7,681.9,424.6,1298.2,1323.1,healthy
379.0,0.0,50.0,377.2,371.6,24.6,25.3,33.3,8553124.7,129848.3,27.1,22.9,130.0,52.7,117.3,701.4,423.0,696.0,425.4,1310.0,1334.2,healthy
380.0,0.0,50.0,377.6,371.8,24.5,25.3,33.3,8540072.4,126324.2,26.3,23.7,129.8,52.8,117.4,718.6,423.6,715.8,425.2,1322.3,1345.6,healthy
381.0,0.0,50.0,377.4,370.8,24.8,25.5,33.5,7996050.2,129020.8,26.3,23.7,129.7,52.7,117.6,736.0,423.7,731.0,425.1,1334.2,1357.4,healthy
382.0,0.0,50.0,376.4,369.6,25.1,25.8,33.5,8108052.5,128147.0,25.9,24.1,129.5,52.8,117.7,688.2,436.8,680.2,438.8,1347.0,1368.7,healthy
383.0,0.0,50.0,376.6,370.0,25.1,25.8,33.7,7933751.4,127331.3,25.6,24.4,129.5,52.7,117.8,703.9,436.2,695.4,438.5,1358.2,1381.9,healthy
384.0,0.0,50.0,377.4,370.8,25.0,25.7,33.7,7439877.1,128000.7,25.3,24.7,129.5,52.6,117.9,717.1,437.3,712.7,438.4,1370.3,1394.5,healthy
385.0,0.0,50.0,378.0,371.4,25.0,25.7,33.9,7244970.6,130966.6,25.6,24.4,129.5,52.6,117.9,732.7,437.3,730.6,438.0,1382.8,1406.4,healthy
386.0,0.0,50.0,376.1,370.9,25.5,25.8,33.9,6974935.5,133356.1,26.5,23.5,129.5,52.5,118.0,751.8,437.5,749.2,436.8,1395.3,1417.4,healthy
387.0,0.0,50.0,375.5,367.3,25.7,26.7,34.3,6586418.8,137435.6,26.7,23.3,129.5,52.5,118.0,690.0,454.5,691.0,453.0,1406.4,1429.6,healthy
388.0,0.0,50.0,375.7,368.0,25.7,26.7,34.3,6706885.7,143620.7,26.1,23.9,129.4,52.5,118.1,708.9,454.4,706.0,453.3,1419.0,1440.9,healthy
389.0,0.0,50.0,376.9,368.0,25.7,26.6,34.3,6122664.5,137731.4,26.0,24.0,129.4,52.4,118.2,722.1,454.8,720.5,454.1,1430.1,1453.8,healthy
390.0,0.0,50.0,377.5,368.6,25.7,26.6,34.3,5832438.5,129250.6,25.8,24.2,129.4,52.4,118.2,738.7,454.6,738.1,453.7,1442.2,1465.9,healthy
391.0,0.0,50.0,377.2,367.4,25.9,26.8,34.6,5520272.8,128370.9,26.3,23.7,129.3,52.4,118.3,755.2,454.6,752.9,453.7,1452.3,1479.5,healthy
392.0,0.0,50.0,374.9,365.9,26.3,27.1,34.6,5198406.3,126438.4,26.6,23.4,129.3,52.3,118.4,699.3,469.4,707.0,466.5,1465.0,1490.2,healthy
393.0,0.0,50.0,375.1,366.3,26.3,27.0,34.8,4953305.8,126276.0,26.5,23.5,129.3,52.2,118.5,715.5,469.9,724.0,466.3,1476.3,1502.4,healthy
394.0,0.0,50.0,375.3,366.3,26.3,27.0,34.8,4819503.5,125622.4,26.5,23.5,129.3,52.2,118.5,731.5,470.4,740.2,466.3,1488.5,1513.7,healthy
395.0,0.0,50.0,375.9,366.9,26.3,26.9,34.8,4573804.2,125147.2,26.0,24.0,129.3,52.2,118.5,751.2,469.7,757.5,466.2,1500.6,1525.6,healthy
396.0,0.0,50.0,374.4,365.2,26.7,27.3,34.8,4466118.9,126391.1,25.2,24.8,129.2,52.3,118.5,762.9,469.8,772.8,467.7,1512.3,1538.7,healthy
397.0,0.0,50.0,373.0,363.3,26.8,27.7,35.2,4272928.6,126493.8,25.2,24.8,129.2,52.3,118.5,716.7,482.4,724.1,481.4,1525.3,1550.5,healthy
398.0,0.0,50.0,373.4,363.9,26.7,27.7,35.2,4115459.5,130068.7,25.3,24.7,129.2,52.1,118.7,729.6,483.2,742.0,481.0,1538.5,1562.0,healthy
399.0,0.0,50.0,373.4,364.3,26.7,27.7,35.4,4111094.2,138169.5,26.3,23.7,129.2,52.0,118.8,737.5,484.0,757.9,481.7,1549.5,1574.7,healthy
400.0,0.0,50.0,374.0,364.5,26.5,27.7,35.4,3954416.4,146843.1,26.4,23.6,129.2,52.0,118.8,754.8,484.5,773.9,482.0,1560.7,1587.1,healthy
401.0,0.0,50.0,371.5,363.4,27.2,28.2,35.4,3923089.3,157533.3,26.7,23.3,129.2,51.9,118.9,770.8,485.4,788.9,483.1,1572.5,1598.6,healthy
402.0,0.0,50.0,370.8,362.5,27.3,28.5,35.4,3749414.9,166435.0,26.1,23.9,128.7,52.4,118.9,725.8,497.4,731.4,498.3,1584.4,1610.6,healthy
403.0,0.0,50.0,371.2,362.5,27.2,28.5,35.8,3670862.7,178726.8,26.9,23.1,128.7,52.3,119.0,748.0,496.9,745.8,498.5,1596.2,1621.9,healthy
404.0,0.0,50.0,371.8,362.5,27.2,28.5,35.8,3536766.4,188212.9,26.5,23.5,128.4,52.5,119.1,759.8,498.0,760.1,499.7,1607.0,1634.6,healthy
405.0,0.0,50.0,372.0,362.9,27.3,28.5,36.1,3375454.7,198756.3,26.7,23.3,128.4,52.5,119.1,777.7,498.0,778.2,499.4,1618.6,1646.3,healthy
406.0,0.0,50.0,369.2,361.1,28.0,29.0,36.1,3269611.9,212277.2,26.7,23.3,128.4,52.3,119.3,793.5,499.1,794.4,500.1,1630.2,1658.0,healthy
407.0,0.0,50.0,366.8,359.4,28.5,29.5,36.5,3033434.3,224510.2,26.1,23.9,128.4,52.2,119.4,734.9,514.6,731.6,516.5,1642.3,1669.8,healthy
408.0,0.0,50.0,367.2,359.6,28.2,29.5,36.5,2978944.4,240846.8,25.2,24.8,128.3,52.3,119.4,748.1,516.4,746.0,516.9,1655.9,1681.0,healthy
409.0,0.0,50.0,367.4,359.6,28.2,29.5,36.9,2841752.5,226797.7,25.0,25.0,128.3,52.3,119.4,762.8,516.6,759.1,518.0,1669.0,1692.9,healthy
410.0,0.0,50.0,367.6,359.6,28.2,29.5,36.9,2671751.8,226525.8,24.9,25.1,128.2,52.3,119.5,777.3,516.1,779.1,516.7,1680.7,1706.3,healthy
411.0,0.0,50.0,367.4,356.9,28.1,30.1,37.3,2559492.3,226210.8,24.1,25.9,128.2,52.2,119.6,793.2,515.3,796.7,517.0,1694.7,1718.2,healthy
412.0,0.0,50.0,367.6,356.6,28.0,30.0,37.3,2494484.2,225033.4,24.5,25.5,128.1,52.2,119.7,747.4,528.0,742.6,530.3,1709.3,1729.1,healthy
413.0,0.0,50.0,368.2,357.2,28.0,29.9,37.5,2455544.4,231512.7,23.2,26.8,128.1,52.1,119.8,759.9,528.2,761.5,530.0,1721.6,1743.6,healthy
414.0,0.0,50.0,368.2,358.4,28.0,29.7,37.5,2294679.3,235535.9,24.0,26.0,128.1,52.0,119.9,775.2,528.1,776.9,530.3,1734.4,1756.8,healthy
415.0,0.0,50.0,368.2,358.8,28.0,29.7,37.1,2181597.7,240727.8,23.6,26.4,128.1,52.0,119.9,788.6,527.7,797.5,530.5,1746.6,1771.0,healthy
416.0,0.0,50.0,368.3,358.3,28.0,29.9,37.1,2016400.4,250104.6,23.8,26.2,128.1,51.9,120.0,807.1,526.9,811.9,530.8,1760.8,1783.0,healthy
417.0,0.0,50.0,368.4,357.1,28.0,30.2,36.9,1896446.8,254798.0,24.1,25.9,128.0,51.8,120.2,743.7,543.1,756.3,545.6,1773.2,1796.5,healthy
418.0,0.0,50.0,368.4,357.3,27.8,30.1,36.9,1823068.4,261233.6,23.8,26.2,128.0,51.6,120.4,757.1,543.8,770.0,544.6,1787.3,1808.6,healthy
419.0,0.0,50.0,369.2,357.5,27.8,30.1,37.2,1739377.6,274065.2,23.3,26.7,128.0,51.4,120.6,772.9,543.6,781.7,544.5,1800.2,1822.4,healthy
420.0,0.0,50.0,369.4,358.3,27.8,30.0,37.2,1646361.5,287088.3,23.8,26.2,128.0,51.4,120.6,785.9,543.4,799.2,544.2,1812.0,1836.8,healthy
421.0,0.0,50.0,369.2,357.1,27.8,30.2,37.0,1612854.5,302092.3,23.9,26.1,128.0,51.3,120.7,803.4,543.8,811.6,545.1,1823.3,1851.6,healthy
