tick,aep_active,aep_hyperactive,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,856.2643672760577,206.59754220330018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.898189016496,250.0031999795203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.992776802479,270.8538761439872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1275.1751295846036,487.48305953472186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.31622776601683905,0.31622776601683794,0.0,0.0,0.0,0.0,0.31622776601683905,1623.8134676673233,513.5701293667477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.31622776601683905,0.31622776601683794,0.6324555320336759,0.0,0.0,0.0,0.31622776601683905,1648.0495711260894,617.1425551145646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9428090415820647,0.9428090415820634,0.8432740427115678,0.0,0.0,0.0,0.9428090415820647,1406.4687103996785,896.5044462925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9428090415820647,0.9428090415820634,1.9436506316151,0.6324555320336759,0.0,0.0,0.9428090415820647,1524.5199608765743,1097.0104830857354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6992058987801005,0.6992058987801011,2.3190036174568114,0.9660917830792959,0.0,0.0,0.6992058987801005,1447.6357007970696,1277.283053986078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6992058987801005,0.6992058987801011,2.3944379994757297,2.2010098692292237,0.0,0.0,0.6992058987801005,1350.4416931754834,1444.8519185946589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9718253158075513,0.97182531580755,2.1186998109427604,2.6749870196985173,0.0,0.0,0.9718253158075513,1259.1454774303616,1678.7301947206004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.9718253158075513,0.97182531580755,2.1499353995462798,3.190262963734773,0.0,0.0,0.9718253158075513,1199.147085779444,1791.8890714674405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.264911064067352,1.2649110640673518,2.4585451886114367,3.0983866769659336,0.0,0.0,1.264911064067352,1146.8232451234826,1863.1611995626026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.264911064067352,1.2649110640673518,2.8674417556808756,3.5023801430836525,0.0,0.0,1.264911064067352,976.0340442605245,2057.517047316984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.080123449734644,1.0801234497346435,2.836272984824353,3.6270588023294517,0.0,0.0,1.080123449734644,794.9209674203119,2532.573747966461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.080123449734644,1.0801234497346435,3.1269438398822866,3.4318767136623336,0.0,0.0,1.080123449734644,679.2717996338266,2845.6925128653274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
