tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,26796,11026,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,23319,12182,50,0,300,0,0,0,0,0,0,0,0
3,49,1,0,0,0,0,0,0,49,22020,13055,50,0,300,0,0,0,0,0,0,0,0
4,49,1,0,0,2,0,0,0,49,19729,14147,50,0,300,0,0,0,0,0,0,0,0
5,47,3,0,0,2,2,0,0,47,18393,15816,50,0,300,0,0,0,0,0,0,0,0
6,47,3,0,0,4,2,0,0,47,16079,17623,50,0,300,0,0,0,0,0,0,0,0
7,45,5,0,0,6,2,0,0,45,14816,19647,50,0,300,0,0,0,0,0,0,0,0
8,45,5,0,0,6,2,0,0,45,13272,21511,50,0,300,0,0,0,0,0,0,0,0
9,43,7,0,0,6,4,0,0,43,12027,23480,50,0,300,0,0,0,0,0,0,0,0
10,43,7,0,0,6,6,0,0,43,10647,25424,50,0,300,0,0,0,0,0,0,0,0
11,43,7,0,0,6,8,0,0,43,9557,27346,50,0,300,0,0,0,0,0,0,0,0
12,43,7,0,0,6,10,0,0,43,9011,29172,50,0,300,0,0,0,0,0,0,0,0
13,43,7,0,0,8,10,0,0,43,8375,31599,50,0,300,0,0,0,0,0,0,0,0
14,43,7,0,0,10,12,0,0,43,7771,34790,50,0,300,0,0,0,0,0,0,0,0
15,43,7,0,0,14,14,0,0,43,6723,39117,50,0,300,0,0,0,0,0,0,0,0
16,43,7,0,0,16,14,0,0,43,5939,42029,50,0,300,0,0,0,0,0,0,0,0
17,41,9,0,0,18,16,0,0,41,5259,44922,50,0,300,0,0,0,0,0,0,0,0
18,41,9,0,0,20,18,0,0,41,4688,50023,50,0,300,0,0,0,0,0,0,0,0
19,39,11,0,0,22,18,0,0,39,4326,52732,50,0,300,0,0,0,0,0,0,0,0
20,39,11,0,0,24,18,0,0,39,3794,56866,50,0,300,0,0,0,0,0,0,0,0
21,37,13,0,0,24,20,0,0,37,3329,61305,50,0,300,0,0,0,0,0,0,0,0
22,37,13,0,0,28,24,0,0,37,2920,64992,50,0,300,0,0,0,0,0,0,0,0
23,37,13,0,0,30,28,0,0,37,2676,71663,50,0,300,0,0,0,0,0,0,0,0
