tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,27499,10603,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,24481,11530,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,22916,12715,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,20743,14019,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,18640,15204,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,16311,16661,50,0,300,0,0,0,0,0,0,0,0
7,48,2,0,0,0,0,0,0,48,15614,18073,50,0,300,0,0,0,0,0,0,0,0
8,48,2,0,0,2,0,0,0,48,14165,19869,50,0,300,0,0,0,0,0,0,0,0
9,47,3,0,0,4,2,0,0,47,12896,21365,50,0,300,0,0,0,0,0,0,0,0
10,47,3,0,0,8,2,0,0,47,11653,23545,50,0,300,0,0,0,0,0,0,0,0
11,46,4,0,0,8,2,0,0,46,10604,25460,50,0,300,0,0,0,0,0,0,0,0
12,46,4,0,0,8,4,0,0,46,9732,26787,50,0,300,0,0,0,0,0,0,0,0
13,46,4,0,0,8,6,0,0,46,8897,29042,50,0,300,0,0,0,0,0,0,0,0
14,46,4,0,0,8,6,0,0,46,8062,31431,50,0,300,0,0,0,0,0,0,0,0
15,45,5,0,0,8,6,0,0,45,7503,34904,50,0,300,0,0,0,0,0,0,0,0
16,45,5,0,0,8,6,0,0,45,6712,37175,50,0,300,0,0,0,0,0,0,0,0
17,43,7,0,0,8,6,0,0,43,6288,40407,50,0,300,0,0,0,0,0,0,0,0
18,43,7,0,0,10,6,0,0,43,5795,42714,50,0,300,0,0,0,0,0,0,0,0
19,42,8,0,0,12,8,0,0,42,5193,47257,50,0,300,0,0,0,0,0,0,0,0
20,42,8,0,0,12,10,0,0,42,4773,50697,50,0,300,0,0,0,0,0,0,0,0
21,40,10,0,0,14,12,0,0,40,4272,53864,50,0,300,0,0,0,0,0,0,0,0
