tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,27213,11240,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,24440,12131,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,21533,13101,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,19381,14306,50,0,300,0,0,0,0,0,0,0,0
5,48,2,0,0,2,0,0,0,48,17804,15213,50,0,300,0,0,0,0,0,0,0,0
6,48,2,0,0,2,0,0,0,48,16361,16328,50,0,300,0,0,0,0,0,0,0,0
7,48,2,0,0,2,0,0,0,48,14739,17300,50,0,300,0,0,0,0,0,0,0,0
8,48,2,0,0,2,0,0,0,48,12808,19565,50,0,300,0,0,0,0,0,0,0,0
9,46,4,0,0,2,2,0,0,46,11481,21156,50,0,300,0,0,0,0,0,0,0,0
10,46,4,0,0,4,4,0,0,46,10485,23408,50,0,300,0,0,0,0,0,0,0,0
11,46,4,0,0,6,4,0,0,46,9552,26030,50,0,300,0,0,0,0,0,0,0,0
12,46,4,0,0,8,4,0,0,46,8211,28220,50,0,300,0,0,0,0,0,0,0,0
13,45,5,0,0,10,4,0,0,45,7476,30137,50,0,300,0,0,0,0,0,0,0,0
14,45,5,0,0,10,4,0,0,45,6841,32589,50,0,300,0,0,0,0,0,0,0,0
15,44,6,0,0,10,4,0,0,44,5943,34605,50,0,300,0,0,0,0,0,0,0,0
16,44,6,0,0,10,4,0,0,44,5583,37437,50,0,300,0,0,0,0,0,0,0,0
17,43,7,0,0,12,4,0,0,43,4969,40268,50,0,300,0,0,0,0,0,0,0,0
18,43,7,0,0,14,6,0,0,43,4407,43393,50,0,300,0,0,0,0,0,0,0,0
19,43,7,0,0,14,6,0,0,43,4087,48726,50,0,300,0,0,0,0,0,0,0,0
20,43,7,0,0,14,10,0,0,43,3725,52409,50,0,300,0,0,0,0,0,0,0,0
21,43,7,0,0,14,10,0,0,43,3274,56406,50,0,300,0,0,0,0,0,0,0,0
22,43,7,0,0,16,10,0,0,43,2924,60391,50,0,300,0,0,0,0,0,0,0,0
23,41,9,0,0,16,12,0,0,41,2601,65127,50,0,300,0,0,0,0,0,0,0,0
24,41,9,0,0,18,12,0,0,41,2352,69118,50,0,300,0,0,0,0,0,0,0,0
25,41,9,0,0,18,12,0,0,41,2155,74180,50,0,300,0,0,0,0,0,0,0,0
26,41,9,0,0,20,14,0,0,41,1901,82915,50,0,300,0,0,0,0,0,0,0,0
27,40,10,0,0,20,14,0,0,40,1703,89741,50,0,300,0,0,0,0,0,0,0,0
28,40,10,0,0,22,14,0,0,40,1638,97184,50,0,300,0,0,0,0,0,0,0,0
29,38,12,0,0,24,18,0,0,38,1517,104792,50,0,300,0,0,0,0,0,0,0,0
30,38,12,0,0,24,18,0,0,38,1413,115093,50,0,300,0,0,0,0,0,0,0,0
31,37,13,0,0,24,20,0,0,37,1282,125510,50,0,300,0,0,0,0,0,0,0,0
32,37,13,0,0,24,24,0,0,37,1197,138854,50,0,300,0,0,0,0,0,0,0,0
33,36,14,0,0,26,26,0,0,36,1133,152265,50,0,300,0,0,0,0,0,0,0,0
34,36,14,0,0,26,26,0,0,36,1039,164860,50,0,300,0,0,0,0,0,0,0,0
35,35,15,0,0,26,28,0,0,35,947,177863,50,0,300,0,0,0,0,0,0,0,0
36,35,15,0,0,26,30,0,0,35,871,191964,50,0,300,0,0,0,0,0,0,0,0
37,33,17,0,0,32,32,0,0,33,794,212865,50,0,300,0,0,0,0,0,0,0,0
38,33,17,0,0,36,32,0,0,33,742,231295,50,0,300,0,0,0,0,0,0,0,0
39,32,18,0,0,38,32,0,0,32,666,247809,50,0,300,0,0,0,0,0,0,0,0
40,32,18,0,0,40,34,0,0,32,601,268259,50,0,300,0,0,0,0,0,0,0,0
41,30,20,0,0,44,36,0,0,30,536,291846,50,0,300,0,0,0,0,0,0,0,0
42,30,20,0,0,46,42,0,0,30,499,318082,50,0,300,0,0,0,0,0,0,0,0
43,30,20,0,0,50,44,0,0,30,445,338111,50,0,300,0,0,0,0,0,0,0,0
44,30,20,0,0,52,46,0,0,30,399,367100,50,0,300,0,0,0,0,0,0,0,0
