tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,29035,10784,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,27996,11489,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,26687,12011,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,25419,12883,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,25014,13766,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,24159,14758,50,0,300,0,0,0,0,0,0,0,0
7,48,2,0,0,0,0,0,0,48,21786,15766,50,0,300,0,0,0,0,0,0,0,0
8,48,2,0,0,0,0,0,0,48,20639,16729,50,0,300,0,0,0,0,0,0,0,0
9,47,3,0,0,2,0,0,0,47,19946,17931,50,0,300,0,0,0,0,0,0,0,0
10,47,3,0,0,2,2,0,0,47,19584,18601,50,0,300,0,0,0,0,0,0,0,0
11,47,3,0,0,2,2,0,0,47,18358,19547,50,0,300,0,0,0,0,0,0,0,0
12,47,3,0,0,4,2,0,0,47,18047,20683,50,0,300,0,0,0,0,0,0,0,0
13,46,4,0,0,4,2,0,0,46,17587,22055,50,0,300,0,0,0,0,0,0,0,0
14,46,4,0,0,4,2,0,0,46,16069,23557,50,0,300,0,0,0,0,0,0,0,0
15,44,6,0,0,6,4,0,0,44,15943,24770,50,0,300,0,0,0,0,0,0,0,0
16,44,6,0,0,6,6,0,0,44,14727,26569,50,0,300,0,0,0,0,0,0,0,0
17,43,7,0,0,6,6,0,0,43,14246,27813,50,0,300,0,0,0,0,0,0,0,0
18,43,7,0,0,8,8,0,0,43,13513,29992,50,0,300,0,0,0,0,0,0,0,0
19,43,7,0,0,8,10,0,0,43,12645,31595,50,0,300,0,0,0,0,0,0,0,0
20,43,7,0,0,8,14,0,0,43,12355,34228,50,0,300,0,0,0,0,0,0,0,0
21,42,8,0,0,8,16,0,0,42,11627,36114,50,0,300,0,0,0,0,0,0,0,0
22,42,8,0,0,8,18,0,0,42,10909,37829,50,0,300,0,0,0,0,0,0,0,0
23,40,10,0,0,14,20,0,0,40,9963,39913,50,0,300,0,0,0,0,0,0,0,0
24,40,10,0,0,16,22,0,0,40,9389,43157,50,0,300,0,0,0,0,0,0,0,0
25,38,12,0,0,18,22,0,0,38,9174,45417,50,0,300,0,0,0,0,0,0,0,0
26,38,12,0,0,20,24,0,0,38,9110,46879,50,0,300,0,0,0,0,0,0,0,0
27,37,13,0,0,22,26,0,0,37,9193,48874,50,0,300,0,0,0,0,0,0,0,0
28,37,13,0,0,30,30,0,0,37,8894,52158,50,0,300,0,0,0,0,0,0,0,0
29,35,15,0,0,32,34,0,0,35,8106,54826,50,0,300,0,0,0,0,0,0,0,0
30,35,15,0,0,34,36,0,0,35,7539,56861,50,0,300,0,0,0,0,0,0,0,0
31,33,17,0,0,36,40,0,0,33,7161,59051,50,0,300,0,0,0,0,0,0,0,0
32,33,17,0,0,36,46,0,0,33,6592,63224,50,0,300,0,0,0,0,0,0,0,0
33,32,18,0,0,36,52,0,0,32,6292,67608,50,0,300,0,0,0,0,0,0,0,0
34,32,18,0,0,42,58,0,0,32,5926,70875,50,0,300,0,0,0,0,0,0,0,0
35,32,18,0,0,46,60,0,0,32,5801,74995,50,0,300,0,0,0,0,0,0,0,0
36,32,18,0,0,48,66,0,0,32,5477,77604,50,0,300,0,0,0,0,0,0,0,0
37,30,20,0,0,54,74,0,0,30,5132,85744,50,0,300,0,0,0,0,0,0,0,0
38,30,20,0,0,54,74,0,0,30,4603,90083,50,0,300,0,0,0,0,0,0,0,0
39,28,22,0,0,62,74,0,0,28,4717,94432,50,0,300,0,0,0,0,0,0,0,0
