tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,29276,10619,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,28016,11323,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,26812,12061,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,25076,12844,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,23602,13431,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,23886,14302,50,0,300,0,0,0,0,0,0,0,0
7,49,1,0,0,0,0,0,0,49,23204,14768,50,0,300,0,0,0,0,0,0,0,0
8,49,1,0,0,2,0,0,0,49,22269,15933,50,0,300,0,0,0,0,0,0,0,0
9,49,1,0,0,2,0,0,0,49,21880,17194,50,0,300,0,0,0,0,0,0,0,0
10,49,1,0,0,2,0,0,0,49,20103,18493,50,0,300,0,0,0,0,0,0,0,0
11,48,2,0,0,2,0,0,0,48,18381,19863,50,0,300,0,0,0,0,0,0,0,0
12,48,2,0,0,2,0,0,0,48,17266,21583,50,0,300,0,0,0,0,0,0,0,0
13,46,4,0,0,2,0,0,0,46,16616,23134,50,0,300,0,0,0,0,0,0,0,0
14,46,4,0,0,6,0,0,0,46,16130,24506,50,0,300,0,0,0,0,0,0,0,0
15,45,5,0,0,8,2,0,0,45,15557,26674,50,0,300,0,0,0,0,0,0,0,0
16,45,5,0,0,10,2,0,0,45,15418,27338,50,0,300,0,0,0,0,0,0,0,0
17,45,5,0,0,10,4,0,0,45,14516,29675,50,0,300,0,0,0,0,0,0,0,0
18,45,5,0,0,10,6,0,0,45,14200,31736,50,0,300,0,0,0,0,0,0,0,0
19,43,7,0,0,10,6,0,0,43,13246,34031,50,0,300,0,0,0,0,0,0,0,0
20,43,7,0,0,12,6,0,0,43,12442,36094,50,0,300,0,0,0,0,0,0,0,0
21,41,9,0,0,14,10,0,0,41,12117,37862,50,0,300,0,0,0,0,0,0,0,0
22,41,9,0,0,18,12,0,0,41,11285,40076,50,0,300,0,0,0,0,0,0,0,0
23,41,9,0,0,20,12,0,0,41,11175,42342,50,0,300,0,0,0,0,0,0,0,0
24,41,9,0,0,20,14,0,0,41,10680,44983,50,0,300,0,0,0,0,0,0,0,0
25,40,10,0,0,22,14,0,0,40,9929,48119,50,0,300,0,0,0,0,0,0,0,0
26,40,10,0,0,22,14,0,0,40,9272,50953,50,0,300,0,0,0,0,0,0,0,0
27,40,10,0,0,24,18,0,0,40,8812,54169,50,0,300,0,0,0,0,0,0,0,0
28,40,10,0,0,24,18,0,0,40,8306,56120,50,0,300,0,0,0,0,0,0,0,0
29,40,10,0,0,26,20,0,0,40,7767,60481,50,0,300,0,0,0,0,0,0,0,0
30,40,10,0,0,28,20,0,0,40,7274,62773,50,0,300,0,0,0,0,0,0,0,0
31,40,10,0,0,28,22,0,0,40,7078,66399,50,0,300,0,0,0,0,0,0,0,0
32,40,10,0,0,30,22,0,0,40,6429,71224,50,0,300,0,0,0,0,0,0,0,0
33,39,11,0,0,30,22,0,0,39,6145,76475,50,0,300,0,0,0,0,0,0,0,0
34,39,11,0,0,30,28,0,0,39,6163,81928,50,0,300,0,0,0,0,0,0,0,0
35,38,12,0,0,30,30,0,0,38,5805,88051,50,0,300,0,0,0,0,0,0,0,0
36,38,12,0,0,32,32,0,0,38,5641,96135,50,0,300,0,0,0,0,0,0,0,0
37,36,14,0,0,34,34,0,0,36,5309,100860,50,0,300,0,0,0,0,0,0,0,0
38,36,14,0,0,34,36,0,0,36,4958,104332,50,0,300,0,0,0,0,0,0,0,0
39,36,14,0,0,36,38,0,0,36,4515,112540,50,0,300,0,0,0,0,0,0,0,0
40,36,14,0,0,42,38,0,0,36,4326,120007,50,0,300,0,0,0,0,0,0,0,0
41,35,15,0,0,46,40,0,0,35,4094,126378,50,0,300,0,0,0,0,0,0,0,0
42,35,15,0,0,50,40,0,0,35,3805,134328,50,0,300,0,0,0,0,0,0,0,0
43,33,17,0,0,50,42,0,0,33,3592,139547,50,0,300,0,0,0,0,0,0,0,0
44,33,17,0,0,52,44,0,0,33,3461,148298,50,0,300,0,0,0,0,0,0,0,0
45,32,18,0,0,54,48,0,0,32,3374,157111,50,0,300,0,0,0,0,0,0,0,0
46,32,18,0,0,54,50,0,0,32,3201,162901,50,0,300,0,0,0,0,0,0,0,0
47,30,20,0,0,54,50,0,0,30,3103,173602,50,0,300,0,0,0,0,0,0,0,0
48,30,20,0,0,56,54,0,0,30,2740,190220,50,0,300,0,0,0,0,0,0,0,0
49,29,21,0,0,58,54,0,0,29,2576,200394,50,0,300,0,0,0,0,0,0,0,0
50,29,21,0,0,62,56,0,0,29,3043,177830,50,0,300,0,0,0,0,0,0,0,0
51,27,23,0,0,66,56,0,0,27,3546,155709,50,0,300,0,0,0,0,0,0,0,0
52,27,23,0,0,70,60,0,0,27,4601,134705,50,0,300,0,0,0,0,0,0,0,0
53,27,23,0,0,72,60,0,0,27,5612,116871,50,0,300,0,0,0,0,0,0,0,0
54,27,23,0,0,76,60,0,0,27,6547,101273,50,0,300,0,0,0,0,0,0,0,0
55,26,24,0,0,78,60,0,0,26,7572,90815,50,0,300,0,0,0,0,0,0,0,0
56,26,24,0,0,80,64,0,0,26,8542,79295,50,0,300,0,0,0,0,0,0,0,0
57,26,24,0,0,82,70,0,0,26,10339,69773,50,0,300,0,0,0,0,0,0,0,0
58,26,24,0,0,82,76,0,0,26,12096,58363,50,0,300,0,0,0,0,0,0,0,0
59,26,24,0,0,84,82,0,0,26,14033,49878,50,0,300,0,0,0,0,0,0,0,0
60,26,24,0,0,86,82,0,0,26,16779,42970,50,0,300,0,0,0,0,0,0,0,0
61,24,26,0,0,92,86,0,0,24,21134,38773,50,0,300,0,0,0,0,0,0,0,0
62,24,26,0,0,94,88,0,0,24,24914,34204,50,0,300,0,0,0,0,0,0,0,0
63,24,26,0,0,96,92,0,0,24,29256,31389,50,0,300,0,0,0,0,0,0,0,0
64,24,26,0,0,100,98,0,0,24,36316,27378,50,0,300,0,0,0,0,0,0,0,0
65,24,26,0,0,100,100,0,0,24,42551,24655,50,0,300,0,0,0,0,0,0,0,0
66,24,26,0,0,100,104,0,0,24,46114,21311,50,0,300,0,0,0,0,0,0,0,0
67,24,26,0,0,104,106,0,0,24,54971,18654,50,0,300,0,0,0,0,0,0,0,0
68,24,26,0,0,108,110,0,0,24,67135,16806,50,0,300,0,0,0,0,0,0,0,0
69,24,26,0,0,108,114,0,0,24,81351,14278,50,0,300,0,0,0,0,0,0,0,0
70,24,26,0,0,110,116,0,0,24,86659,11656,50,0,300,0,0,0,0,0,0,0,0
71,24,26,0,0,114,120,0,0,24,101937,10400,50,0,300,0,0,0,0,0,0,0,0
72,24,26,0,0,116,122,0,0,24,116455,9418,50,0,300,0,0,0,0,0,0,0,0
73,24,26,0,0,116,122,0,0,25,132141,7668,50,0,300,0,0,0,0,0,0,0,0
74,24,26,0,0,118,126,0,0,25,148130,6385,50,0,300,0,0,0,0,0,0,0,0
75,24,26,0,0,120,130,0,0,25,172178,5648,50,0,300,0,0,0,0,0,0,0,0
76,24,26,0,0,122,130,0,0,25,204512,4855,50,0,300,0,0,0,0,0,0,0,0
77,24,26,0,0,122,130,0,0,26,229853,3982,50,0,300,0,0,0,0,0,0,0,0
78,24,26,0,0,124,130,0,0,26,276245,3569,50,0,300,0,0,0,0,0,0,0,0
79,24,26,0,0,124,130,0,0,27,332802,3115,50,0,300,0,0,0,0,0,0,0,0
80,24,26,0,0,126,130,0,0,27,363623,2610,50,0,300,0,0,0,0,0,0,0,0
81,24,26,0,0,130,132,0,0,28,429408,2240,50,0,300,0,0,0,0,0,0,0,0
82,24,26,0,0,132,138,0,0,28,531910,2076,50,0,300,0,0,0,0,0,0,0,0
83,24,26,0,0,134,138,0,0,28,631754,1804,50,0,300,0,0,0,0,0,0,0,0
84,24,26,0,0,134,140,0,0,28,788128,1660,50,0,300,0,0,0,0,0,0,0,0
85,24,26,0,0,138,142,0,0,28,918021,1543,50,0,300,0,0,0,0,0,0,0,0
86,24,26,0,0,142,144,0,0,28,1091338,1323,50,0,300,0,0,0,0,0,0,0,0
87,24,26,0,0,144,146,0,0,29,1117754,1229,50,0,300,0,0,0,0,0,0,0,0
88,24,26,0,0,148,148,0,0,29,1285486,1019,50,0,300,0,0,0,0,0,0,0,0
89,24,26,0,0,152,152,0,0,29,1542487,924,50,0,300,0,0,0,0,0,0,0,0
90,24,26,0,0,152,156,0,0,29,1943356,769,50,0,300,0,0,0,0,0,0,0,0
91,24,26,0,0,154,160,0,0,29,2289877,669,50,0,300,0,0,0,0,0,0,0,0
92,24,26,0,0,158,162,0,0,29,2738819,555,50,0,300,0,0,0,0,0,0,0,0
93,24,26,0,0,160,164,0,0,29,3259390,476,50,0,300,0,0,0,0,0,0,0,0
94,24,26,0,0,160,164,0,0,29,3749854,424,50,0,300,0,0,0,0,0,0,0,0
95,24,26,0,0,164,164,0,0,29,4185931,362,50,0,300,0,0,0,0,0,0,0,0
96,24,26,0,0,164,166,0,0,29,5002445,303,50,0,300,0,0,0,0,0,0,0,0
97,24,26,0,0,168,168,0,0,29,5751740,267,50,0,300,0,0,0,0,0,0,0,0
98,24,26,0,0,172,172,0,0,29,6640470,242,50,0,300,0,0,0,0,0,0,0,0
99,24,26,0,0,172,176,0,0,29,7564335,221,50,0,300,0,0,0,0,0,0,0,0
