tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,27863,10563,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,27605,11451,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,24839,12181,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,22872,12510,50,0,300,0,0,0,0,0,0,0,0
5,49,1,0,0,0,0,0,0,49,22380,13289,50,0,300,0,0,0,0,0,0,0,0
6,49,1,0,0,0,0,0,0,49,21448,13914,50,0,300,0,0,0,0,0,0,0,0
7,49,1,0,0,0,0,0,0,49,19927,14285,50,0,300,0,0,0,0,0,0,0,0
8,49,1,0,0,0,0,0,0,49,18242,14732,50,0,300,0,0,0,0,0,0,0,0
9,48,2,0,0,0,0,0,0,48,17103,15707,50,0,300,0,0,0,0,0,0,0,0
10,48,2,0,0,0,0,0,0,48,16714,16436,50,0,300,0,0,0,0,0,0,0,0
11,46,4,0,0,2,0,0,0,46,15702,17374,50,0,300,0,0,0,0,0,0,0,0
12,46,4,0,0,4,2,0,0,46,15250,18400,50,0,300,0,0,0,0,0,0,0,0
13,46,4,0,0,4,2,0,0,46,14642,19364,50,0,300,0,0,0,0,0,0,0,0
14,46,4,0,0,4,2,0,0,46,13699,20439,50,0,300,0,0,0,0,0,0,0,0
15,45,5,0,0,6,2,0,0,45,13371,21171,50,0,300,0,0,0,0,0,0,0,0
16,45,5,0,0,6,2,0,0,45,13008,23025,50,0,300,0,0,0,0,0,0,0,0
17,45,5,0,0,6,2,0,0,45,12928,24818,50,0,300,0,0,0,0,0,0,0,0
18,45,5,0,0,8,2,0,0,45,11924,25808,50,0,300,0,0,0,0,0,0,0,0
19,44,6,0,0,8,6,0,0,44,11349,27114,50,0,300,0,0,0,0,0,0,0,0
20,44,6,0,0,12,6,0,0,44,10535,27989,50,0,300,0,0,0,0,0,0,0,0
21,44,6,0,0,14,6,0,0,44,9834,30239,50,0,300,0,0,0,0,0,0,0,0
22,44,6,0,0,16,8,0,0,44,9329,31791,50,0,300,0,0,0,0,0,0,0,0
23,44,6,0,0,16,8,0,0,44,8873,32744,50,0,300,0,0,0,0,0,0,0,0
24,44,6,0,0,16,10,0,0,44,8547,35000,50,0,300,0,0,0,0,0,0,0,0
25,44,6,0,0,16,14,0,0,44,7625,37761,50,0,300,0,0,0,0,0,0,0,0
26,44,6,0,0,18,14,0,0,44,6985,39647,50,0,300,0,0,0,0,0,0,0,0
27,44,6,0,0,18,14,0,0,44,6779,42086,50,0,300,0,0,0,0,0,0,0,0
28,44,6,0,0,18,16,0,0,44,6648,44206,50,0,300,0,0,0,0,0,0,0,0
29,44,6,0,0,18,16,0,0,44,5934,46304,50,0,300,0,0,0,0,0,0,0,0
30,44,6,0,0,20,16,0,0,44,5561,48489,50,0,300,0,0,0,0,0,0,0,0
31,44,6,0,0,22,16,0,0,44,5330,51752,50,0,300,0,0,0,0,0,0,0,0
32,44,6,0,0,24,16,0,0,44,5104,54741,50,0,300,0,0,0,0,0,0,0,0
33,43,7,0,0,28,18,0,0,43,4522,56783,50,0,300,0,0,0,0,0,0,0,0
34,43,7,0,0,30,20,0,0,43,4221,61385,50,0,300,0,0,0,0,0,0,0,0
35,41,9,0,0,30,22,0,0,41,4118,64036,50,0,300,0,0,0,0,0,0,0,0
36,41,9,0,0,36,22,0,0,41,3777,67389,50,0,300,0,0,0,0,0,0,0,0
37,41,9,0,0,36,22,0,0,41,3410,70448,50,0,300,0,0,0,0,0,0,0,0
38,41,9,0,0,36,22,0,0,41,3087,75623,50,0,300,0,0,0,0,0,0,0,0
39,39,11,0,0,36,22,0,0,39,2968,80314,50,0,300,0,0,0,0,0,0,0,0
40,39,11,0,0,38,24,0,0,39,2757,84458,50,0,300,0,0,0,0,0,0,0,0
41,37,13,0,0,38,26,0,0,37,2486,90900,50,0,300,0,0,0,0,0,0,0,0
42,37,13,0,0,42,28,0,0,37,2485,96344,50,0,300,0,0,0,0,0,0,0,0
43,37,13,0,0,42,32,0,0,37,2309,99521,50,0,300,0,0,0,0,0,0,0,0
44,37,13,0,0,48,32,0,0,37,2161,105752,50,0,300,0,0,0,0,0,0,0,0
45,35,15,0,0,50,34,0,0,35,2157,108689,50,0,300,0,0,0,0,0,0,0,0
46,35,15,0,0,52,36,0,0,35,2174,113864,50,0,300,0,0,0,0,0,0,0,0
47,35,15,0,0,54,40,0,0,35,2075,118715,50,0,300,0,0,0,0,0,0,0,0
48,35,15,0,0,54,44,0,0,35,1950,123684,50,0,300,0,0,0,0,0,0,0,0
49,33,17,0,0,54,44,0,0,33,1876,130357,50,0,300,0,0,0,0,0,0,0,0
50,33,17,0,0,58,48,0,0,33,1859,137233,50,0,300,0,0,0,0,0,0,0,0
51,33,17,0,0,60,54,0,0,33,1809,142680,50,0,300,0,0,0,0,0,0,0,0
52,33,17,0,0,62,56,0,0,33,1705,151485,50,0,300,0,0,0,0,0,0,0,0
53,33,17,0,0,62,60,0,0,33,1635,163577,50,0,300,0,0,0,0,0,0,0,0
54,33,17,0,0,62,60,0,0,33,1500,170203,50,0,300,0,0,0,0,0,0,0,0
55,31,19,0,0,66,62,0,0,31,1386,183636,50,0,300,0,0,0,0,0,0,0,0
56,31,19,0,0,68,64,0,0,31,1281,192659,50,0,300,0,0,0,0,0,0,0,0
57,31,19,0,0,70,68,0,0,31,1222,205846,50,0,300,0,0,0,0,0,0,0,0
58,31,19,0,0,70,70,0,0,31,1098,220260,50,0,300,0,0,0,0,0,0,0,0
59,31,19,0,0,72,74,0,0,31,1117,231714,50,0,300,0,0,0,0,0,0,0,0
60,31,19,0,0,72,76,0,0,31,1050,243514,50,0,300,0,0,0,0,0,0,0,0
61,31,19,0,0,74,78,0,0,31,986,258325,50,0,300,0,0,0,0,0,0,0,0
62,31,19,0,0,74,78,0,0,31,934,276154,50,0,300,0,0,0,0,0,0,0,0
63,30,20,0,0,76,80,0,0,30,838,292402,50,0,300,0,0,0,0,0,0,0,0
64,30,20,0,0,76,80,0,0,30,789,304853,50,0,300,0,0,0,0,0,0,0,0
65,29,21,0,0,80,82,0,0,29,851,264515,50,0,300,0,0,0,0,0,0,0,0
66,29,21,0,0,82,84,0,0,29,961,210851,50,0,300,0,0,0,0,0,0,0,0
67,27,23,0,0,88,84,0,0,27,1141,180749,50,0,300,0,0,0,0,0,0,0,0
68,27,23,0,0,88,88,0,0,27,1296,161569,50,0,300,0,0,0,0,0,0,0,0
69,27,23,0,0,88,88,0,0,27,1476,143174,50,0,300,0,0,0,0,0,0,0,0
70,27,23,0,0,90,92,0,0,27,1694,133109,50,0,300,0,0,0,0,0,0,0,0
71,26,24,0,0,90,94,0,0,26,1908,111419,50,0,300,0,0,0,0,0,0,0,0
72,26,24,0,0,96,98,0,0,26,2139,99455,50,0,300,0,0,0,0,0,0,0,0
73,24,26,0,0,98,104,0,0,24,2504,85754,50,0,300,0,0,0,0,0,0,0,0
74,24,26,0,0,102,106,0,0,24,2902,68605,50,0,300,0,0,0,0,0,0,0,0
75,23,27,0,0,108,108,0,0,23,3461,59049,50,0,300,0,0,0,0,0,0,0,0
76,23,27,0,0,116,108,0,0,23,3922,52726,50,0,300,0,0,0,0,0,0,0,0
77,22,28,0,0,118,110,0,0,22,4489,42153,50,0,300,0,0,0,0,0,0,0,0
78,22,28,0,0,120,112,0,0,22,5410,35455,50,0,300,0,0,0,0,0,0,0,0
79,22,28,0,0,122,116,0,0,22,5729,31178,50,0,300,0,0,0,0,0,0,0,0
80,22,28,0,0,124,118,0,0,22,6524,26387,50,0,300,0,0,0,0,0,0,0,0
81,20,30,0,0,128,118,0,0,20,7682,23291,50,0,300,0,0,0,0,0,0,0,0
82,20,30,0,0,132,126,0,0,20,8342,20031,50,0,300,0,0,0,0,0,0,0,0
83,18,32,0,0,134,130,0,0,18,9880,15908,50,0,300,0,0,0,0,0,0,0,0
84,18,32,0,0,140,134,0,0,18,11600,12975,50,0,300,0,0,0,0,0,0,0,0
85,18,32,0,0,144,136,0,0,18,14335,9519,50,0,300,0,0,0,0,0,0,0,0
86,18,32,0,0,146,136,0,0,18,16307,8005,50,0,300,0,0,0,0,0,0,0,0
87,18,32,0,0,146,144,0,0,18,19982,6329,50,0,300,0,0,0,0,0,0,0,0
88,18,32,0,0,148,148,0,0,18,24070,5601,50,0,300,0,0,0,0,0,0,0,0
89,18,32,0,0,148,150,0,0,19,30998,4506,50,0,300,0,0,0,0,0,0,0,0
90,18,32,0,0,152,150,0,0,19,37776,3831,50,0,300,0,0,0,0,0,0,0,0
91,18,32,0,0,154,156,0,0,19,43156,3108,50,0,300,0,0,0,0,0,0,0,0
