tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,29733,10277,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,28026,10783,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,26419,11285,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,25111,11825,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,23713,12800,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,22144,13447,50,0,300,0,0,0,0,0,0,0,0
7,50,0,0,0,0,0,0,0,50,21280,14262,50,0,300,0,0,0,0,0,0,0,0
8,50,0,0,0,0,0,0,0,50,21345,15544,50,0,300,0,0,0,0,0,0,0,0
9,50,0,0,0,0,0,0,0,50,20418,15942,50,0,300,0,0,0,0,0,0,0,0
10,50,0,0,0,0,0,0,0,50,19220,17479,50,0,300,0,0,0,0,0,0,0,0
11,50,0,0,0,0,0,0,0,50,19171,18275,50,0,300,0,0,0,0,0,0,0,0
12,50,0,0,0,0,0,0,0,50,18984,19015,50,0,300,0,0,0,0,0,0,0,0
13,48,2,0,0,0,2,0,0,48,18298,20221,50,0,300,0,0,0,0,0,0,0,0
14,48,2,0,0,0,2,0,0,48,16823,21961,50,0,300,0,0,0,0,0,0,0,0
15,48,2,0,0,0,2,0,0,48,16003,23081,50,0,300,0,0,0,0,0,0,0,0
16,48,2,0,0,0,2,0,0,48,15077,24488,50,0,300,0,0,0,0,0,0,0,0
