tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,27896,10587,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,25621,11331,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,23924,11999,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,22100,12906,50,0,300,0,0,0,0,0,0,0,0
5,48,2,0,0,2,2,0,0,48,20740,13462,50,0,300,0,0,0,0,0,0,0,0
6,48,2,0,0,2,4,0,0,48,19907,14323,50,0,300,0,0,0,0,0,0,0,0
7,46,4,0,0,6,4,0,0,46,19102,15258,50,0,300,0,0,0,0,0,0,0,0
8,46,4,0,0,6,6,0,0,46,17781,16278,50,0,300,0,0,0,0,0,0,0,0
9,46,4,0,0,10,6,0,0,46,17715,17354,50,0,300,0,0,0,0,0,0,0,0
10,46,4,0,0,10,6,0,0,46,17609,18419,50,0,300,0,0,0,0,0,0,0,0
11,46,4,0,0,12,8,0,0,46,16638,19352,50,0,300,0,0,0,0,0,0,0,0
12,46,4,0,0,14,10,0,0,46,16427,20358,50,0,300,0,0,0,0,0,0,0,0
13,45,5,0,0,14,10,0,0,45,16172,21188,50,0,300,0,0,0,0,0,0,0,0
14,45,5,0,0,16,10,0,0,45,15341,21859,50,0,300,0,0,0,0,0,0,0,0
15,45,5,0,0,18,12,0,0,45,15183,23158,50,0,300,0,0,0,0,0,0,0,0
16,45,5,0,0,18,12,0,0,45,13733,25181,50,0,300,0,0,0,0,0,0,0,0
17,44,6,0,0,20,14,0,0,44,13238,25921,50,0,300,0,0,0,0,0,0,0,0
18,44,6,0,0,20,14,0,0,44,12742,28051,50,0,300,0,0,0,0,0,0,0,0
19,43,7,0,0,20,16,0,0,43,12283,30323,50,0,300,0,0,0,0,0,0,0,0
20,43,7,0,0,22,18,0,0,43,11687,31979,50,0,300,0,0,0,0,0,0,0,0
21,41,9,0,0,24,20,0,0,41,11324,34627,50,0,300,0,0,0,0,0,0,0,0
22,41,9,0,0,26,24,0,0,41,10701,36054,50,0,300,0,0,0,0,0,0,0,0
23,39,11,0,0,30,28,0,0,39,10358,38609,50,0,300,0,0,0,0,0,0,0,0
24,39,11,0,0,32,32,0,0,39,10347,39989,50,0,300,0,0,0,0,0,0,0,0
25,37,13,0,0,32,36,0,0,37,9805,43418,50,0,300,0,0,0,0,0,0,0,0
26,37,13,0,0,34,40,0,0,37,9825,45068,50,0,300,0,0,0,0,0,0,0,0
27,37,13,0,0,34,42,0,0,37,9518,48467,50,0,300,0,0,0,0,0,0,0,0
28,37,13,0,0,34,44,0,0,37,8949,50642,50,0,300,0,0,0,0,0,0,0,0
29,36,14,0,0,36,44,0,0,36,8399,54594,50,0,300,0,0,0,0,0,0,0,0
30,36,14,0,0,38,44,0,0,36,8085,57978,50,0,300,0,0,0,0,0,0,0,0
31,36,14,0,0,42,48,0,0,36,7874,62516,50,0,300,0,0,0,0,0,0,0,0
32,36,14,0,0,42,50,0,0,36,7607,66577,50,0,300,0,0,0,0,0,0,0,0
33,35,15,0,0,46,50,0,0,35,7742,70196,50,0,300,0,0,0,0,0,0,0,0
34,35,15,0,0,46,50,0,0,35,7207,75900,50,0,300,0,0,0,0,0,0,0,0
35,34,16,0,0,48,56,0,0,34,6960,80839,50,0,300,0,0,0,0,0,0,0,0
36,34,16,0,0,52,58,0,0,34,6549,86833,50,0,300,0,0,0,0,0,0,0,0
37,33,17,0,0,54,60,0,0,33,6152,93479,50,0,300,0,0,0,0,0,0,0,0
38,33,17,0,0,56,60,0,0,33,5756,99603,50,0,300,0,0,0,0,0,0,0,0
39,33,17,0,0,58,60,0,0,33,5416,106723,50,0,300,0,0,0,0,0,0,0,0
40,33,17,0,0,58,62,0,0,33,5370,111809,50,0,300,0,0,0,0,0,0,0,0
41,33,17,0,0,58,62,0,0,33,4989,120360,50,0,300,0,0,0,0,0,0,0,0
42,33,17,0,0,64,66,0,0,33,4898,126250,50,0,300,0,0,0,0,0,0,0,0
43,32,18,0,0,68,66,0,0,32,4686,134691,50,0,300,0,0,0,0,0,0,0,0
44,32,18,0,0,68,68,0,0,32,4444,140268,50,0,300,0,0,0,0,0,0,0,0
45,32,18,0,0,72,72,0,0,32,4192,147254,50,0,300,0,0,0,0,0,0,0,0
46,32,18,0,0,74,74,0,0,32,4071,154539,50,0,300,0,0,0,0,0,0,0,0
47,30,20,0,0,78,78,0,0,30,3869,162428,50,0,300,0,0,0,0,0,0,0,0
48,30,20,0,0,82,80,0,0,30,3681,175092,50,0,300,0,0,0,0,0,0,0,0
49,30,20,0,0,84,80,0,0,30,3605,184589,50,0,300,0,0,0,0,0,0,0,0
50,30,20,0,0,88,84,0,0,30,3675,192716,50,0,300,0,0,0,0,0,0,0,0
51,28,22,0,0,92,94,0,0,28,4081,166266,50,0,300,0,0,0,0,0,0,0,0
52,28,22,0,0,96,98,0,0,28,4339,145984,50,0,300,0,0,0,0,0,0,0,0
53,28,22,0,0,100,102,0,0,28,4821,134118,50,0,300,0,0,0,0,0,0,0,0
54,28,22,0,0,106,106,0,0,28,5288,118394,50,0,300,0,0,0,0,0,0,0,0
55,26,24,0,0,106,108,0,0,26,6538,101498,50,0,300,0,0,0,0,0,0,0,0
56,26,24,0,0,106,112,0,0,26,7757,91607,50,0,300,0,0,0,0,0,0,0,0
57,25,25,0,0,106,116,0,0,25,9427,76849,50,0,300,0,0,0,0,0,0,0,0
58,25,25,0,0,108,116,0,0,25,11446,65030,50,0,300,0,0,0,0,0,0,0,0
59,25,25,0,0,110,118,0,0,25,12862,58987,50,0,300,0,0,0,0,0,0,0,0
60,25,25,0,0,112,120,0,0,25,14574,54232,50,0,300,0,0,0,0,0,0,0,0
61,25,25,0,0,112,124,0,0,25,16510,46774,50,0,300,0,0,0,0,0,0,0,0
62,25,25,0,0,114,126,0,0,25,20776,44235,50,0,300,0,0,0,0,0,0,0,0
63,23,27,0,0,118,126,0,0,23,23881,39705,50,0,300,0,0,0,0,0,0,0,0
64,23,27,0,0,118,126,0,0,23,30115,36339,50,0,300,0,0,0,0,0,0,0,0
65,22,28,0,0,118,128,0,0,22,32356,30499,50,0,300,0,0,0,0,0,0,0,0
66,22,28,0,0,120,132,0,0,22,37672,23833,50,0,300,0,0,0,0,0,0,0,0
67,22,28,0,0,128,132,0,0,22,43361,20620,50,0,300,0,0,0,0,0,0,0,0
68,22,28,0,0,128,132,0,0,22,46762,17119,50,0,300,0,0,0,0,0,0,0,0
69,22,28,0,0,130,134,0,0,22,58428,14733,50,0,300,0,0,0,0,0,0,0,0
70,22,28,0,0,132,136,0,0,22,70480,12979,50,0,300,0,0,0,0,0,0,0,0
71,22,28,0,0,138,138,0,0,23,78535,10870,50,0,300,0,0,0,0,0,0,0,0
72,22,28,0,0,138,138,0,0,23,87469,9775,50,0,300,0,0,0,0,0,0,0,0
73,22,28,0,0,140,138,0,0,24,103494,8689,50,0,300,0,0,0,0,0,0,0,0
74,22,28,0,0,146,140,0,0,24,117933,7848,50,0,300,0,0,0,0,0,0,0,0
75,22,28,0,0,146,140,0,0,25,141838,6849,50,0,300,0,0,0,0,0,0,0,0
76,22,28,0,0,146,140,0,0,25,166587,5776,50,0,300,0,0,0,0,0,0,0,0
77,22,28,0,0,148,140,0,0,26,176620,4943,50,0,300,0,0,0,0,0,0,0,0
78,22,28,0,0,150,142,0,0,26,197622,4613,50,0,300,0,0,0,0,0,0,0,0
79,22,28,0,0,152,142,0,0,26,231747,3936,50,0,300,0,0,0,0,0,0,0,0
80,22,28,0,0,152,146,0,0,26,264179,3342,50,0,300,0,0,0,0,0,0,0,0
81,22,28,0,0,152,154,0,0,27,334468,2848,50,0,300,0,0,0,0,0,0,0,0
82,22,28,0,0,152,156,0,0,27,389603,2477,50,0,300,0,0,0,0,0,0,0,0
83,22,28,0,0,156,158,0,0,27,445299,2220,50,0,300,0,0,0,0,0,0,0,0
84,22,28,0,0,156,158,0,0,27,513538,1853,50,0,300,0,0,0,0,0,0,0,0
85,22,28,0,0,158,158,0,0,28,566452,1578,50,0,300,0,0,0,0,0,0,0,0
86,22,28,0,0,160,160,0,0,28,711674,1303,50,0,300,0,0,0,0,0,0,0,0
87,22,28,0,0,160,160,0,0,28,828735,1064,50,0,300,0,0,0,0,0,0,0,0
88,22,28,0,0,160,162,0,0,28,976769,941,50,0,300,0,0,0,0,0,0,0,0
89,22,28,0,0,164,164,0,0,29,1176736,759,50,0,300,0,0,0,0,0,0,0,0
90,22,28,0,0,166,168,0,0,29,1303396,677,50,0,300,0,0,0,0,0,0,0,0
91,22,28,0,0,166,174,0,0,30,1224589,716,50,0,300,0,0,0,0,0,0,0,0
92,22,28,0,0,168,176,0,0,30,1183733,754,50,0,300,0,0,0,0,0,0,0,0
93,22,28,0,0,170,176,0,0,30,1161828,793,50,0,300,0,0,0,0,0,0,0,0
94,22,28,0,0,170,178,0,0,30,1107877,843,50,0,300,0,0,0,0,0,0,0,0
95,22,28,0,0,172,180,0,0,31,1055644,908,50,0,300,0,0,0,0,0,0,0,0
96,22,28,0,0,172,182,1,0,31,1032822,946,50,0,300,0,0,0,0,0,0,0,0
97,22,28,0,0,174,190,1,0,31,1007279,998,50,0,300,0,0,0,0,0,0,0,0
98,22,28,0,0,176,196,1,0,31,982506,1051,50,0,300,0,0,0,0,0,0,0,0
99,22,28,0,0,178,196,1,0,32,954626,1125,50,0,300,0,0,0,0,0,0,0,0
100,22,28,0,0,180,196,1,0,32,898096,1168,50,0,300,0,0,0,0,0,0,0,0
101,22,28,0,0,176,198,2,0,32,887662,1225,50,0,300,0,0,0,0,0,0,0,0
102,22,28,0,0,176,202,2,0,32,851969,1349,50,0,300,0,0,0,0,0,0,0,0
103,22,28,0,0,178,202,2,0,33,828473,1444,50,0,300,0,0,0,0,0,0,0,0
104,22,28,0,0,178,204,2,0,33,782090,1519,50,0,300,0,0,0,0,0,0,0,0
105,22,28,0,0,178,208,2,0,33,741215,1621,50,0,300,0,0,0,0,0,0,0,0
106,22,28,0,0,180,210,2,0,33,742172,1677,50,0,300,0,0,0,0,0,0,0,0
107,22,28,0,0,182,206,2,1,34,703083,1757,50,0,300,0,0,0,0,0,0,0,0
108,22,28,0,0,182,208,2,1,34,680207,1862,50,0,300,0,0,0,0,0,0,0,0
109,22,28,0,0,182,212,2,1,35,620190,1970,50,0,300,0,0,0,0,0,0,0,0
110,22,28,0,0,186,214,2,1,35,583563,2071,50,0,300,0,0,0,0,0,0,0,0
111,22,28,0,0,190,216,2,1,36,544662,2161,50,0,300,0,0,0,0,0,0,0,0
112,22,28,0,0,192,216,3,1,36,529173,2247,50,0,300,0,0,0,0,0,0,0,0
113,22,28,0,0,192,216,3,1,37,515269,2334,50,0,300,0,0,0,0,0,0,0,0
114,22,28,0,0,194,218,3,1,37,502716,2538,50,0,300,0,0,0,0,0,0,0,0
115,22,28,0,0,198,218,3,1,37,489767,2695,50,0,300,0,0,0,0,0,0,0,0
116,22,28,0,0,198,218,3,1,37,443476,2909,50,0,300,0,0,0,0,0,0,0,0
117,22,28,0,0,202,224,3,1,37,424015,3081,50,0,300,0,0,0,0,0,0,0,0
118,22,28,0,0,204,224,3,1,37,416848,3218,50,0,300,0,0,0,0,0,0,0,0
119,22,28,0,0,206,224,3,1,38,399991,3398,50,0,300,0,0,0,0,0,0,0,0
120,22,28,0,0,208,224,3,1,38,379569,3673,50,0,300,0,0,0,0,0,0,0,0
121,22,28,0,0,210,226,3,1,39,360009,3826,50,0,300,0,0,0,0,0,0,0,0
122,22,28,0,0,214,226,3,1,39,324054,4096,50,0,300,0,0,0,0,0,0,0,0
123,22,28,0,0,218,228,3,1,40,305995,4358,50,0,300,0,0,0,0,0,0,0,0
124,22,28,0,0,218,230,3,1,40,287767,4670,50,0,300,0,0,0,0,0,0,0,0
125,22,28,0,0,218,234,3,1,40,293147,4904,50,0,300,0,0,0,0,0,0,0,0
126,22,28,0,0,218,234,3,1,40,263002,5149,50,0,300,0,0,0,0,0,0,0,0
127,22,28,0,0,220,234,3,1,41,248991,5562,50,0,300,0,0,0,0,0,0,0,0
128,22,28,0,0,220,236,3,1,41,240469,5952,50,0,300,0,0,0,0,0,0,0,0
129,22,28,0,0,222,240,3,1,41,227990,6366,50,0,300,0,0,0,0,0,0,0,0
130,22,28,0,0,224,240,3,1,41,229861,6653,50,0,300,0,0,0,0,0,0,0,0
131,22,28,0,0,224,240,3,1,41,216747,6957,50,0,300,0,0,0,0,0,0,0,0
132,22,28,0,0,226,242,3,1,41,203062,7500,50,0,300,0,0,0,0,0,0,0,0
133,22,28,0,0,226,244,3,1,42,187367,8037,50,0,300,0,0,0,0,0,0,0,0
134,22,28,0,0,226,244,3,1,42,186097,8647,50,0,300,0,0,0,0,0,0,0,0
135,22,28,0,0,226,244,3,1,43,176037,9228,50,0,300,0,0,0,0,0,0,0,0
136,22,28,0,0,228,246,4,1,43,170167,9653,50,0,300,0,0,0,0,0,0,0,0
137,22,28,0,0,232,246,4,1,43,160371,10416,50,0,300,0,0,0,0,0,0,0,0
138,22,28,0,0,236,246,4,1,43,146878,11077,50,0,300,0,0,0,0,0,0,0,0
139,22,28,0,0,236,250,4,1,43,139604,11721,50,0,300,0,0,0,0,0,0,0,0
140,22,28,0,0,236,250,4,1,43,136737,12170,50,0,300,0,0,0,0,0,0,0,0
