tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,28156,10790,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,27117,11668,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,26483,12370,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,25283,13350,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,23708,13896,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,22371,15061,50,0,300,0,0,0,0,0,0,0,0
7,50,0,0,0,0,0,0,0,50,20811,15815,50,0,300,0,0,0,0,0,0,0,0
8,50,0,0,0,0,0,0,0,50,20179,16908,50,0,300,0,0,0,0,0,0,0,0
9,50,0,0,0,0,0,0,0,50,18309,18061,50,0,300,0,0,0,0,0,0,0,0
10,50,0,0,0,0,0,0,0,50,17780,19267,50,0,300,0,0,0,0,0,0,0,0
11,48,2,0,0,0,0,0,0,48,17066,20046,50,0,300,0,0,0,0,0,0,0,0
12,48,2,0,0,0,0,0,0,48,16405,21478,50,0,300,0,0,0,0,0,0,0,0
13,46,4,0,0,0,0,0,0,46,16273,23002,50,0,300,0,0,0,0,0,0,0,0
14,46,4,0,0,0,0,0,0,46,15300,23827,50,0,300,0,0,0,0,0,0,0,0
15,46,4,0,0,0,0,0,0,46,14631,25975,50,0,300,0,0,0,0,0,0,0,0
16,46,4,0,0,2,0,0,0,46,14790,27388,50,0,300,0,0,0,0,0,0,0,0
17,45,5,0,0,2,2,0,0,45,14029,29311,50,0,300,0,0,0,0,0,0,0,0
18,45,5,0,0,4,4,0,0,45,13347,31153,50,0,300,0,0,0,0,0,0,0,0
19,44,6,0,0,6,4,0,0,44,12523,32938,50,0,300,0,0,0,0,0,0,0,0
20,44,6,0,0,6,6,0,0,44,11998,34444,50,0,300,0,0,0,0,0,0,0,0
21,42,8,0,0,6,6,0,0,42,11434,37326,50,0,300,0,0,0,0,0,0,0,0
22,42,8,0,0,8,6,0,0,42,10954,39390,50,0,300,0,0,0,0,0,0,0,0
23,41,9,0,0,10,8,0,0,41,10388,41330,50,0,300,0,0,0,0,0,0,0,0
24,41,9,0,0,14,10,0,0,41,9718,44471,50,0,300,0,0,0,0,0,0,0,0
25,39,11,0,0,14,16,0,0,39,9018,47230,50,0,300,0,0,0,0,0,0,0,0
26,39,11,0,0,16,18,0,0,39,8495,49861,50,0,300,0,0,0,0,0,0,0,0
27,38,12,0,0,18,20,0,0,38,8227,52446,50,0,300,0,0,0,0,0,0,0,0
28,38,12,0,0,20,20,0,0,38,7725,54703,50,0,300,0,0,0,0,0,0,0,0
29,38,12,0,0,20,20,0,0,38,7567,57690,50,0,300,0,0,0,0,0,0,0,0
30,38,12,0,0,20,20,0,0,38,7046,62561,50,0,300,0,0,0,0,0,0,0,0
31,36,14,0,0,20,20,0,0,36,6649,65707,50,0,300,0,0,0,0,0,0,0,0
