tick,aep_active,aep_hyperactive,alpha_protein_gut,tau_protein_gut,alpha_cleaved_gut,tau_cleaved_gut,alpha_oligomer_gut,tau_oligomer_gut,barrier_impermeability,microbiota_good_bacteria_class,microbiota_pathogenic_bacteria_class,resting_microglia,active_microglia,healthy_neuron,damaged_neuron,dead_neuron,cleaved_alpha_syn_brain,alpha_syn_oligomer_brain,cleaved_tau_brain,tau_oligomer_brain,cytokine_pro_inflammatory,cytokine_non_inflammatory
1,50,0,0,0,0,0,0,0,50,28060,10371,50,0,300,0,0,0,0,0,0,0,0
2,50,0,0,0,0,0,0,0,50,26832,10834,50,0,300,0,0,0,0,0,0,0,0
3,50,0,0,0,0,0,0,0,50,25647,11256,50,0,300,0,0,0,0,0,0,0,0
4,50,0,0,0,0,0,0,0,50,25002,12064,50,0,300,0,0,0,0,0,0,0,0
5,50,0,0,0,0,0,0,0,50,23843,12676,50,0,300,0,0,0,0,0,0,0,0
6,50,0,0,0,0,0,0,0,50,21841,13566,50,0,300,0,0,0,0,0,0,0,0
7,49,1,0,0,0,0,0,0,49,21188,14742,50,0,300,0,0,0,0,0,0,0,0
8,49,1,0,0,0,2,0,0,49,20046,15559,50,0,300,0,0,0,0,0,0,0,0
9,47,3,0,0,0,2,0,0,47,19512,16792,50,0,300,0,0,0,0,0,0,0,0
10,47,3,0,0,2,2,0,0,47,18608,17877,50,0,300,0,0,0,0,0,0,0,0
11,46,4,0,0,2,2,0,0,46,17612,18833,50,0,300,0,0,0,0,0,0,0,0
12,46,4,0,0,2,2,0,0,46,16362,20293,50,0,300,0,0,0,0,0,0,0,0
13,45,5,0,0,4,6,0,0,45,15987,21327,50,0,300,0,0,0,0,0,0,0,0
14,45,5,0,0,4,8,0,0,45,15274,23159,50,0,300,0,0,0,0,0,0,0,0
15,45,5,0,0,6,10,0,0,45,14148,24265,50,0,300,0,0,0,0,0,0,0,0
16,45,5,0,0,6,10,0,0,45,13385,26229,50,0,300,0,0,0,0,0,0,0,0
